Citekey,Title,Author(s),Editor(s),Translator(s),Year,Date,Published In,Entry Type,Entry Type (original),Publisher,Location,Series,Volume,Number,Pages,Event/Title,DOI,URL,Note,Generation,Detection Method,Detection Confidence,Enriched Via,Completeness Score,Completeness Detail,Data Quality Flags,Correction Note,Corrections Applied,Source PDF,Source Footnote,Raw Citation (as extracted),Cited By (citekeys),Reviewer: Correct? (Y/N),Reviewer: Notes
davis1992,Exchange,"Davis, J.",,,1992,1992,Jysk Arkaeologisk Selskab,article,,University of Minnesota Press,Minneapolis,,1,1,,,,,,F2,,,,0.83,"partial (missing: pages, doi)",,Recovered from _raw_citation.,"title, title, title, title, title, title, title, title, +953 more",Skre 2016 - Post-Substantivist Production and Trade Specialized Sites for Trade and Craft Production in Scandin.pdf,,"Davis, J, 1992 Exchange, University of Minnesota Press, Minneapolis Feveile, C (ed), 2006 Det aeldste Ribe: Udgravninger pa ˚nordsiden af Ribe A ˚1984-2000, Ribe Studier vol 1.1, Jysk Arkaeologisk Selskab, Højbjerg",skre2015,,
foxhall2000,The Running Sands of Time: Archaeology and the Short Term,"Foxhall, Lin",,,2000,2000,World Archae ology,article,,Informa UK Limited,,,31,3,484--499,,10.1080/713781497,,,F2,,,crossref,1.00,complete,,,,Arwill-Nordbladh et al  2007 - Memory and Material Culture The Rune Stone at Rök.pdf,,"Foxhall, Lin 2000. The running sands of time: Archaeology and the short term. World Archae ology vol 31,3:484-499.",arwillnordbladh2007,,
wouters2016,Geoarchaeological and Micromorphological Approaches to the Formation and Biographies of Early Medieval Towns in Northwest Europe,"Wouters, Barbora; Milek, KAREN B.; Devos, Yannick; Tys, Dries","Jervis, Ben; Broderick, L. G.; Sologestoa, I. G.",,2016,2016,"Objects, environment, and everyday life in medieval Europe. Studies in the history of daily life",incollection,,Brepols Publishers,,,,,279--295,Turnhout,,,,F1,,,,0.92,complete (missing: location),,,,Wouters et al  2016 - Soil Micromorphology in Urban Research Early Medieval Antwerp (Belgium) and Viking Age Kaupang (Nor.pdf,,"Wouters, B., Milek, K., Devos, Y., and Tys, D. (2016). Soil micromorphology in urban research: Early medieval Antwerp (Belgium) and Viking Age Kaupang (Norway). In Jervis, B., Broderick, L. G., and Sologestoa, I. G. (eds.), Objects, Environment, and Everyday Life in Medieval Europe, Brepols Publishers, Turnhout, pp. 279-295.","lund2021, croix2019",,
hallgren2005,"För gårdens välgång. kult och rit i järnålderns långhus, vridkvarnsofer i stolphål","Hallgren, A.-L","Karlenby, Leif",,2005,2005,Tidens resenärer. Arkeologiska händelser längs vägen mellan Köping och Kolsva,incollection,,,,,,,79--92,,,,,F2,,,,0.83,"partial (missing: publisher, location)",,,,Zachrisson 2014 - Rotary Querns and Bread A Social History of Iron Age Sweden.pdf,,"Hallgren, A.-L. 2005. För gårdens välgång. Kult och rit i järnålderns långhus, vridkvarnsofer i stolphål. In Karlenby, L. (ed.). Tidens resenärer. Arkeologiska händelser längs vägen mellan Köping och Kolsva, pp. 79-92.",zachrisson2014a,,
carlsson1999,"Gård, hamn och kyrka: en vikingatida kyrkogård i Fröjel, Gotland","Carlsson, D.",,,1999,1999,,book,,"Gotland University College, Centre for Baltic Studies",Visby,,,,,,,,,F2,,,,0.78,"partial (missing: publisher, isbn)",,"Repointing to gardela2018, the F1 paper this entry was extracted from (matched by author surname and year against _source_pdf).","cited_by, cited_by, cited_by, cited_by, cited_by, cited_by, cited_by, cited_by, +171 more",Gardeła 2018 - Amazons of the North Armed Females in Viking Archaeology and Medieval Literature.pdf,,"Carlsson 1999: Dan Carlsson, ""Ridanäs"". Vikingahamnen i Fröjel (ArkeoDok Skrifter Nr 2/CCC Papers 2). Visby 1999.",gardela2018,,
oka2008,"The Archaeology of Trading Systems, Part 1: Towards a New Trade Synthesis","Oka, Rahul; Kusimba, Chapurukha M.",,,2008,2008,Journal of Archaeological Research,article,,Springer Science and Business Media LLC,,,16,4,339--395,,10.1007/s10814-008-9023-5,,,F2,,,crossref,1.00,complete,,,,Downham 2016 - Coastal Communities and Diaspora Identities in Viking Age Ireland.pdf,,"Oka, R and Kusimba, C M, 2008 'The archaeology of trading systems, part 1: towards a new trade synthesis', Journal of Archaeological Research 16, 339-395","downham2015, thend",,
davidson1992,An Evaluation of Micromorphology as an Aid to Archaeological Interpretation,"Davidson, Donald A.; Carter, Stephen P.; Quine, Timothy A.","Brink, Stefan ;; Price, N. S.",,1992,1992,Geoarchaeol,article,incollection,Wiley,,,7,1,54--55,Woodbridge; Hoboken,10.1002/gea.3340070105,,,F2,,,crossref,0.92,complete (missing: location),,,,Fontaine 2017 - Early medieval slave-trading in the archaeological record Comparative methodologies.pdf,,"H.E. Davidson, 'Human Sacrifice in the Late Pagan Period in North Western Europe',i n M.O.H. Carver (ed.), The Age of Sutton Hoo (Woodbridge, 1992), p. 334. S. Brink, 'Slav- ery in the Viking Age', in S. Brink and N. Price (eds), The Viking World (Hoboken, 2008), pp. 54-5.","fontaine2017, milek2012",,
obrien1992,The Role of Adaptation in Archaeological Explanation,"O'brien, Michael J.; Holland, Thomas D.",,,1992,1992,American Antiquity,article,,Cambridge University Press (CUP),,,57,1,36--59,,10.2307/2694834,,,F2,,,crossref,1.00,complete,,,,Brewer and Riede 2018 - Cultural Heritage and Climate Adaptation A Cultural Evolutionary Perspective for the Anthropocene.pdf,,"O'Brien, M. J., and T. D. Holland. 1992. ""The Role of Adaptation in Archaeological Explanation."" American Antiquity 57: 36-59. doi:10.2307/2694834.",brewer2018,,
rundkvist2007,Early Medieval Mortuary Practices. Anglo-Saxon Studies in Archaeology and History 14,"Rundkvist, Martin &; Stilborg, Ola &; Williams, Howard",,,2007,2007,Östergötland. Fornvännen,article,,,Oxford,,102,,279--281,,,,,F2,,,,0.83,"partial (missing: number, doi)",,,,Williams 2014 - Memory through Monuments Movement and Temporality in Skamby’s Boat Graves.pdf,,"Rundkvist, Martin, Stilborg, Ola & Williams, Howard 2007. Copper alloy casting at Skamby in Kuddby parish, Östergötland. Fornvännen 102: 279-281","williams2014, williams2016",,
nagy1976,"Fornlämning 5, Bronsåldershög, Bunkeflo sn","Nagy, B.",,,1976,1976,,book,,Riksantikvarieämbetet,Skåne; Stockholm,,,,,,,,,F2,,,,0.89,complete (missing: isbn),,,,Artelius 2013 - Inventions of Memory and Meaning Examples of Late Iron Age Reuse of Bronze Age Monuments in South-W.pdf,,"Nagy, B. 1976. Fornlämning 5, Bronsåldershög, Bunkeflo sn, Skåne. Riksantikvarieämbetet Rapport 1976 B30. Stockholm: Riksantikvarieämbetet.",artelius2013,,
morris1985,Viking Orkney: a survey,"Morris, Christopher D","Renfrew, A. C.",,1985,1985,The Prehistory of Orkney BC 4000e1000 AD,incollection,,Edinburgh University Press,,,,,210,Edinburgh,,,,F2,,,,0.92,complete (missing: location),catalogue_candidate,,,von Holstein et al  2014 - Searching for Scandinavians in Pre-Viking Scotland Molecular Fingerprinting of Early Medieval Combs.pdf,,"Morris, C.D., 1985. Viking Orkney: a survey. In: Renfrew, A.C. (Ed.), The Prehistory of Orkney BC 4000e1000 AD. Edinburgh University Press, Edinburgh, pp. 210e",vonholstein2014,,
roussell1943,"Skallakot, þjórsárdalur","Roussell, A.","Stenberger, Marten",,1943,1943,Forntida Gårdar i Island,incollection,,Ejnar Munksgaard,,,,,55--71,Copenhagen,,,,F2,,,,0.92,complete (missing: location),,,,Zori et al  2013 - Feasting in Viking Age Iceland Sustaining a Chiefly Political Economy in a Marginal Environment.pdf,,"ROUSSELL, A. 1943. Skallakot, þjórsárdalur, in M. Stenberger (ed.) Forntida Gårdar i Island: 55-71. Copenhagen: Ejnar Munksgaard.",zori2013,,
oehrl2009,Wieland der Schmied auf dem Kistenstein von Alskog kyrka und dem Runenstein Ardre kyrka III: Zur partiellen Neulesung und Interpretation zweier gotländischer Bildsteine. I: Analecta Septentrionalia,"Oehrl, Sigmund","Beck, Heinrich",,2009,2009,RGA-E,article,incollection,de Gruyter,Berlin,,65,,540--566,"Berlin, New York",,,,F2,,,,1.00,complete,,,,Oehrl 2019 - Re-Interpretations of Gotlandic Picture Stones Based on the Reflectance Transformation Imaging Metho.pdf,,"Oehrl, Sigmund. 2009. Wieland der Schmied auf dem Kistenstein von Alskog kyrka und dem Runenstein Ardre kyrka III. Zur partiellen Neulesung und Interpretation zweier gotländischer Bildsteine. In H. Beck et al. (eds.). Analecta Septentrionalia. Beiträge zur nordg- ermanischen Kultur-und Literaturgeschichte. RGA-E 65. Berlin, New York: de Gruyter, 540-566.","oehrl2019, wicker2012, kitzlerahfeldt2013, ahfeldt2015",,
halbwachs1952,On collective memory,"Halbwachs, M.",,,1952,1952,,book,,The University of Chicago Press,"Chicago, Ill",,,,,Chicago,,,,F2,,,,0.89,complete (missing: isbn),,,,Artelius and Lindqvist 2005 - Bones of the Earth Imitation as Meaning in Viking Age Burial Rites.pdf,,"Halbwachs, M. 1992 [1952] On collective memory. Chicago.","artelius2005, artelius2013, lund2020",,
ramskou1963,Stil F: En Skitse,"Ramskou, Thorkild",,,1963,1963,Aarbøger for Nordisk Oldkyndighed og Historie,article,,,,,,,100--118,,,,,F2,llm_from_context,medium,,0.75,"partial (missing: volume, number, doi)",,Recovered.,"title, journaltitle, pages, title, journaltitle, pages, title, journaltitle, +475 more",Sindbæk 2014 - Crossbreeding Beasts Christian and Non-Christian Imagery in Oval Brooches.pdf,,,"sindbaek2014, ulriksen2018, sindbaek2011, ulriksen2011a",,
nordell1991,Yngre bronsålder samt vikingatid/tidig medeltid,"Nordell, M.",,,1991,1991,"Österslöv socken, fornlämning",article,,Kristianstads läns museum,Skåne. Kristianstad,,25,,,,,,,F2,,,,0.75,"partial (missing: number, pages, doi)",,,,"Lund 2008 - Banks, Borders and Bodies of Water in a Viking Age Mentality.pdf",,"Nordell, M. 1991. Boplatslämningar. Yngre bronsålder samt vikingatid/tidig medeltid, Österslöv 25:5, Österslöv socken, fornlämning 25, Skåne. Kristianstad: Kristianstads läns museum.",lund2008,,
grahamcampbell2000,Beretning Fra Nittende Tvaerfaglige Vikingesymposium,"Graham-Campbell, James","Roesdahl, Else; Meulengracht Sørensen, Preben",,2000,2000,"Pengevesenets fremvekst og fall i Norge i middelalderen, Museum Tusculanums Forlag",incollection,,,,,,,7--20,,,,,F2,,,,0.83,"partial (missing: publisher, location)",,,,Aannestad 2018 - The Allure of the Foreign The Social and Cultural Dimension of Imports in Scandinavia in the Viking.pdf,,"Graham-Campbell, James. 2000. 'The Power of Silver' , in Beretning fra det nittende tvaer- faglige vikingesymposium, ed. Else Roesdahl and Preben Meulengracht Sørensen, Højb - jerg: Hikuin, 7-20","aannestad2018, sindbaek2011, sindbaek2016",,
zoega2017,An Archeology of Moments: Christian Conversion and Practice in a Medieval Household Cemetery,"Zoëga, Guðný; Bolender, Douglas J.",,,2017,2017,Journal of Social Archaeology,article,,SAGE Publications,,,17,1,69--91,,10.1177/1469605316673927,,,F1,,,crossref,1.00,complete,,,,Zoëga and Bolender 2017 - An Archeology of Moments Christian Conversion and Practice in a Medieval Household Cemetery.pdf,,"Zoëga, G., and Bolender, D. (2017). An archeology of moments: Christian conversion and practice in a medieval household cemetery. Journal of Social Archaeology 17: 69-91.",lund2021,,
hill1981,An Atlas of Anglo-Saxon England,"Hill, D. H.",,,1981,1981,,misc,,University of Toronto Press,Toronto,,,,,,,,,F2,,,,0.75,"partial (missing: url, note)",,,,Barrett 2008 - What Caused the Viking Age.pdf,,"Hill, D. 1981. An atlas of Anglo-Saxon England. Toronto: University of Toronto Press.","barrett2008, barrett2010, raffield2014",,
carlie1998,käringsjön: A fertility Sacrificial Site from the Late Roman Iron Age in South-west Sweden,"Carlie, Anne",,,1998,1998,Current Swedish Archaeology,article,,,,,6,,17--37,,,,,F2,,,,0.83,"partial (missing: number, doi)",,,,Fabech and Näsman 2013 - Ritual Landscapes and Sacral Places in the First Millennium AD in South Scandinavia.pdf,,"Carlie, Anne. 1998. 'käringsjön: A fertility Sacrificial Site from the Late Roman Iron Age in South-west Sweden' , Current Swedish Archaeology, 6: 17-37","fabech2013, zachrissonnd",,
boeheimnd,Handbuch der Waffenkunde,"Boeheim, W.",,,1890,1890,,book,,Prisma Verlag (Verlag Seemann),,,,,,Leipzig,,,,F2,,,,0.78,"partial (missing: location, isbn)",,,,Dobat 2006 - The King and His Cult The Axe-Hammer from Sutton Hoo and Its Implications for the Concept of Sacral.pdf,,"Boeheim, W. 1982 (1890). Handbuch der Waffenkunde. Leipzig: Prisma Verlag (Verlag Seemann).",dobat2006,,
farbregd2009,Archery History From Ancient Snow and Ice,"Farbregd, Oddmunn",,,2009,2009,"Pilefunn frå Oppdalsfjella. DKNVS, Miscellanea",article,,,,,7,,157--170,,,,,F2,,,,0.83,"partial (missing: number, doi)",,,,Pilø et al  2018 - The Chronology of Reindeer Hunting on Norway’s Highest Ice Patches.pdf,,"Farbregd O. 2009 Archery history from ancient snow and ice. Vitark 7, 157-170.","pilo2018, solli2018, solli2011",,
sanmarknd,Places of Assembly: New Discoveries in Sweden and England,"Sanmark, Alexandra; Semple, Sarah",,,,,,misc,article,,,,,,,,,,,F1,,,,0.50,"partial (missing: date, url, note)",,,,Sanmark and Semple 2008 - Places of Assembly New Discoveries in Sweden and England.pdf,,,lund2021,,
glorstad2017,"A view from the valley: Langeid in Setesdal, South Norway -A Viking-Age trade station along a mercantile highway","Glørstad, Zanette; Wenn, Camilla Cecilie","Glørstad, Zanette; Loftsgarden, Kjetil",,2017,2017,"Viking-Age Transformations: Trade, Craft and Resources in Western Scandinavia",incollection,,,,,,,191--211,"Routledge, London",,,,F1,,,,0.83,"partial (missing: publisher, location)",,,,"Glørstad and Wenn 2017 - A View from the Valley Langeid in Setesdal, South Norway – A Viking-Age Trade Station along a Merca.pdf",,"Glørstad, Z. T., and Wenn, C. C. (2017). A view from the valley: Langeid in Setesdal, South Norway -A Viking-Age trade station along a mercantile highway. In Glørstad, Z. T., and Loftsgarden, K. (eds.), Viking-Age Transformations: Trade, Craft and Resources in Western Scandinavia, Routledge, Lon- don, pp. 191-211.","lund2021, NOAUTHOR21, pilo2020, moen2020",,
fritz1988,,Fritz,,,1988,1988,,misc,,,,,,,,,,,,F2,llm_bib_reparse,,,0.50,"partial (missing: title, url, note)",,,,Poulsen and Sindbæk 2011 - Settlement and Lordship in Viking and Early Medieval Scandinavia.pdf,,,poulsen2011,,
ludowici2010,"Trade and Communication Networks of the irst Millennium AD in the northern part of Central Europe: Central Places, Beach Markets, Landing Places and Trading Centers","Ludowici, Babetre; Jöns, Hauke; Kleingärtner, Sunhild; Schedchkewitz, J.; Hardt, M.",,,2010,2010,Neue Studien zur Sachsenforschung,article,,,Hannover,,1,,335--340,,,,,F2,,,,0.83,"partial (missing: number, doi)",,Removing sovso2014a from cited_by - not a real citation edge. See sovso2014a own delete-correction note for full explanation (shared exhibition-catalogue bibliography incorrectly attributed to this one 10-page chapter).,"cited_by, cited_by, cited_by, cited_by, cited_by, cited_by, cited_by, cited_by, +251 more",Carver 2015 - Commerce and Cult Confronted Ideologies in 6th–9th-Century Europe.pdf,,"Ludowici, B, Jöns, H, Kleingärtner, S, Schedchkewitz J and Hardt, M (eds) 2010, Trade and Communication Networks of the First Millennium ad in the Northern Part of Central Eu- rope, Neue Studien zur Sachsenforschung 1.","carver2015, kalmring2013",,
schovsbo2013,Besigtigelse 8. oktober 2013 Dannevirke Kr. SF LA 85 (unveröfentlichter Bericht Naestved,"Schovsbo, P. O.",,,2013,2013,,misc,,,Næstved,,,,,,,,Unveröffentlichter Bericht (unpublished report),F2,llm_bib_reparse,,,0.75,"partial (missing: url, note)",,Recovered.,"author, note, location, author, note, location, author, note, +403 more",Tummuscheit and Witte 2014 - “Der Einzige Weg Durchs Danewerk” Zu Den Ausgrabungen Am Danewerk Im Jahr 2013.pdf,,,"tummuscheit2014, tummuscheitnd",,
brivio2000,Multispectral and multiscale remote sensing data for archaeological prospecting in an alpine alluvial plain,"Brivio, Pietro Alessandro; Pepe, Monica; Tomasoni, Roberto",,,2000,2000,J Cult Herit,article,,Elsevier BV,,,1,2,155--164,,10.1016/S1296-2074(00)00155-2,,,F2,,,crossref,1.00,complete,,,,"Schneidhofer et al  2017 - Palaeoenvironmental Analysis of Large-Scale, High-Resolution GPR and Magnetometry Data Sets The Vik.pdf",,"Brivio PA, Pepe M, Tomasoni R (2000) Multispectral and multiscale remote sensing data for archaeological prospecting in an alpine al- luvial plain. J Cult Herit 1:155-164. doi:10.1016/S1296-2074(00) 00155-2",schneidhofer2017,,
baker2010,Kings and Vikings: On the Dynamics of Competitive Agglomeration,"Baker, Mike; Bulte, E. H.",,,2010,2010,Economics of Governance,article,,,,,11,,207--227,,,,,F2,,,,0.83,"partial (missing: number, doi)",,,,Svendsen 2019 - Two Bandits or More The Case of Viking Age England.pdf,,"Baker, M. J., & Bulte, E. H. (2010). Kings and Vikings: on the dynamics of competitive agglomeration. Economics of Governance, 11, 207-227.",svendsen2019,,
johansson2013,The Nordic Apocalypse. Approaches to Vǫluspá and Nordic Days of Judgement,"Johansson, Karl G","Gunnell, Terry; Lassen, Annette",,2013,2013,Acta Scandinavica. Aberdeen Studies in the Scandinavian World,article,,Brepols,Turnhout,,2,,161--184,,,,,F2,,,,0.83,"partial (missing: number, doi)",,,,Oehrl 2019 - Re-Interpretations of Gotlandic Picture Stones Based on the Reflectance Transformation Imaging Metho.pdf,,"Johansson, Karl G. 2013. Vǫluspá, The Tiburtine Sibyl, and the Apocalypse in the North. In T. Gunnell & A. Lassen (eds.). The Nordic Apocalypse. Approaches to Vǫluspá and Nordic Days of Judgement. Acta Scandinavica. Aberdeen Studies in the Scandinavian World, vol. 2. Turnhout: Brepols, 161-184.",oehrl2019,,
st1996,Political and Social Structures in Early Scandinavia. a Setlement-Historical Pre-Study of the Central Place,St; Brink,,,1996,1996,Tor,article,,,Brink,,28,,235--281,,,,,F2,,,,0.83,"partial (missing: number, doi)",,,,Jørgensen 2009 - Pre-Christian cult at aristocratic residences and settlement complexes in southern Scandinavia in th.pdf,,"St. Brink, Political and social structures in early Scan- dinavia. A setlement-historical pre-study of the cen- tral place. Tor 28, 1996, 235 -281. Brink 2004",jorgensennd,,
myrberg2005,Burning Down the House: Mythological Chaos and World order on Gotlandic Picture Stones,"Myrberg, Nanouschka",,,2005,2005,Current Swedish Archaeology,article,,,,,13,,99--119,,,,,F2,,,,0.83,"partial (missing: number, doi)",,,,Fabech and Näsman 2013 - Ritual Landscapes and Sacral Places in the First Millennium AD in South Scandinavia.pdf,,"Myrberg, Nanouschka. 2005. 'Burning Down the House: Mythological Chaos and World order on Gotlandic Picture Stones' , Current Swedish Archaeology, 13: 99-119","fabech2013, eriksen2013",,
herring1998,Investigating the Weaning Process in past Populations,"Herring, D. Ann; Saunders, Shelley R.; Katzenberg, M.Anne",,,1998,1998,American Journal of Physical Anthropology,article,,Wiley,,,105,4,425--439,,10.1002/(sici)1096-8644(199804)105:4<425::aid-ajpa3>3.3.co;2-7,,,F2,,,crossref,1.00,complete,,,,Knudson et al  2012 - Migration and Viking Dublin Paleomobility and Paleodiet through Isotopic Analyses.pdf,,"Herring, D.A., Saunders, S.R., Katzenberg, M.A., 1998. Investigating the weaning process in past populations. American Journal of Physical Anthropology 105, 425e439.",knudson2012,,
