Citekey,Title,Author(s),Editor(s),Translator(s),Year,Date,Published In,Entry Type,Entry Type (original),Publisher,Location,Series,Volume,Number,Pages,Event/Title,DOI,URL,Note,Generation,Detection Method,Detection Confidence,Enriched Via,Completeness Score,Completeness Detail,Data Quality Flags,Correction Note,Corrections Applied,Source PDF,Source Footnote,Raw Citation (as extracted),Cited By (citekeys),Reviewer: Correct? (Y/N),Reviewer: Notes
macdermott1955,The Kells crozier,"Macdermott, M.",,,1955,1955,Archaeologica,article,,,,,96,,59--113,,,,,F2,,,,0.83,"partial (missing: number, doi)",,,,Glørstad 2012 - Sign of the Times The Transfer and Transformation of Penannular Brooches in Viking-Age Norway.pdf,,"MacDermott, M., 1955. The Kells crozier. Archaeologica, 96, 59-113.",glorstad2012,,
gurevich1968,Wealth and Gift-Bestowal Among the Ancient Scandinavians,"Gurevich, A. Y.",,,1968,1968,Scandinavica,article,,,,,1968,1,126--138,,,,,F2,,,,0.92,complete (missing: doi),,,,Androshchuk 2010 - The Gift to Men and the Gift to the Gods Weapon Sacrifices and the Circulation of Swords in Viking.pdf,,"A. Y. Gurevich, Wealth and gift-bestowal among the ancient Scandi- navians. Scandinavica 7/1, May 1968, 126-138.","androshchuk2010, kalmring2013, sheehannd",,
gilchrist2015,Transforming Medieval Beliefs: The Significance of Bodily Resurrection to Medieval Burial Rituals,"Gilchrist, Roberta","Brandt, J. R.; Prusac, M.; Ingvaldsen, H.",,2015,2015,Death and Changing Rituals: Function And Meaning in Ancient Funerary Practices. Studies in Funerary Archaeology,incollection,,Oxbow,,,,,379--396,Oxford,,,,F2,,,,0.92,complete (missing: location),,,,Zoëga and Bolender 2017 - An Archeology of Moments Christian Conversion and Practice in a Medieval Household Cemetery.pdf,,"Gilchrist R (2015) Transforming medieval beliefs: The significance of bodily resurrection to medieval burial rituals. In: Brandt JR, Prusac M and Ingvaldsen H (eds) Death and Changing Rituals: Function And Meaning in Ancient Funerary Practices. Studies in Funerary Archaeology. Oxford: Oxbow, pp. 379-396.",zoega2017,,
ahrland2013,Vert and Venison-High Status Hunting and Parks in Medieval Sweden,"Ahrland, Å.","Grimm, Oliver; Schmölke, U.",,2013,2013,Hunting in Northern Europe until 1500 AD,incollection,,Wachholtz,,,,,439--464,Neumünster,,,,F2,,,,0.92,complete (missing: location),,,,Lindholm and Ljungkvist 2016 - The Bear in the Grave Exploitation of Top Predator and Herbivore Resources in First Millennium Swed.pdf,,"Ahrland, Å. 2013. Vert and Venison-High Status Hunting and Parks in Medieval Sweden. In: O. Grimm & U. Schmölke, eds. Hunting in Northern Europe until 1500 AD. Neumünster: Wachholtz, pp. 439-64.",lindholm2016,,
pilo2000,Innberetning fra undersøkelse av traséer for sykkel-/gangvei og avløp i bosetningsområdet på kaupang,"Pilø, LARS; Stene, Kathrine; Tørhaug, V.; Wiker, Gry; Pedersen, Unn",,,2000,2000,,book,,,"Larvik kommune, Vestfold",,,,,,,,,F2,,,,0.78,"partial (missing: publisher, isbn)",,,,Pedersen 2015 - Urban Craftspeople at Viking-age Kaupang.pdf,,"Pilø, L., Stene, K., Tørhaug, V., Wiker, G. and Pedersen, U. 2000. Innberetning fra undersøkelse av traséer for sykkel-/gangvei og avløp i bosetningsområdet på Kaupang, gnr. 1010/1029, Larvik kommune, Vestfold. Unpublished report. Museum of Cultural History, University of Oslo.",pedersennda,,
andersson2003,"Nära och avlägsna släktingar"". I: Gunnar Andersson et al. (red.), Att föra gudarnas talan. Figurinerna från Lunda. (Riksantikvarieämbetet, arkeologiska undersökningar","Andersson, Gunnar; Beronius, Lena; Jérpeland, J.; Dunét",,,2003,2003,Birka Studies,article,,Riksantikvarieämbetet,Stockholm,Vägar till Midgård,144,,124--126,,,,,F2,,,,0.83,"partial (missing: number, doi)",,,,"Bender Jørgensen 2012 - The Introduction of Sails to Scandinavia Raw Materials, Labour and Land.pdf",,"Andersson, E. 2003. Tools for Textile Production from Birka and Hedeby. Birka Studies 8, Stokholm.","benderjorgensen2009, milek2012, price2006, sindbaek2007, zachrissonnd, oye2014",,
joensen1976,Pilot Whaling in the Faroe Islands,"Joensen, J. P.",,,1976,1976,Ethnologia Scandinavica,article,,,,,,,5--42,,,,,F2,,,,0.75,"partial (missing: volume, number, doi)",,,,Keller and Perdikaris 2016 - The Northern Frontier – North Atlantic Farming during the Viking and Middle Ages.pdf,,"Joensen, J. P. (1976) Pilot Whaling in the Faroe Islands. Ethnologia Scandinavica 1976, 5-42.",keller2016,,
mostrom1998,"Brostenar och själabroar, 0&= ganisation och ideologi bakom brobyggande i norden under sen vikingatid och tidig medeltid","Moström, J.",,,1998,1998,,book,,,,,,,,,,,,F2,,,,0.67,"partial (missing: publisher, location, isbn)",,,,Andrén 2000 - Re-reading Embodied Texts - an Interpretation of Rune-stones.pdf,,"Moström, J. 1998. Brostenar och själabroar, 0&= ganisation och ideologi bakom brobyggande i Norden under sen vikingatid och tidig medel- tid. Duplicated seminar paper, Department of Archaeology, Stockholm University. Stock- holm.",andren2000,,
smolarek1969,Studia nad szkutnictwem Pomorza Gdanskiego X-XIII wieku,"Smolarek, P.",,,1969,1969,,book,,,,,,,,Gdansk,,,,F2,,,,0.67,"partial (missing: publisher, location, isbn)",,,,Ravn 2012 - Maritim læring i vikingetiden Om praksisfællesskabets marginale deltager.pdf,,"Smolarek, P. 1969: Studia nad szkutnictwem Pomorza Gdanskiego X-XIII wieku. Gdansk.",ravn2012a,,
reitz1999,Zooarchaeology,"Reitz, E. J.; Wing, E. S.",,,1999,1999,Cambridge Manuals in Archaeology,incollection,,Cambridge University Press,,,,,,Cambridge,,,,F2,,,,0.75,"partial (missing: editor, pages, location)",,,,"Gotfredsen et al  2014 - A Ritual Site with Sacrificial Wells from the Viking Age at Trelleborg, Denmark.pdf",,"Reitz, E.J. and Wing, E.S., 1999. Zooarchaeology. In: Cambridge Manuals in Archaeology. Cambridge: Cambridge University Press.",gotfredsen2014,,
