Citekey,Title,Author(s),Editor(s),Translator(s),Year,Date,Published In,Entry Type,Entry Type (original),Publisher,Location,Series,Volume,Number,Pages,Event/Title,DOI,URL,Note,Generation,Detection Method,Detection Confidence,Enriched Via,Completeness Score,Completeness Detail,Data Quality Flags,Correction Note,Corrections Applied,Source PDF,Source Footnote,Raw Citation (as extracted),Cited By (citekeys),Reviewer: Correct? (Y/N),Reviewer: Notes
hauck1977,Wielands Hort. Die sozial ge schichtliche Stellung des Schmiedes in früh en Bild pro -grammen nach und vor dem Religions wechsel,"Hauck, Karl",,,1977,1977,KVHAA Antikvariskt Arkiv,article,,,Stockholm,,64,,64,,,,,F2,,,,0.83,"partial (missing: number, doi)",,,,Fischer and Victor 2011 - New Horizons for Helgö.pdf,,"Hauck, K. 1977 Wielands Hort. Die sozialgeschichtliche Stellung des Schmiedes in frühen Bildprogrammen nach und vor dem Religionswechsel. KVHAA Antikvariskt Arkiv 64. Stockholm.","fischer2011, lund2006, lund2010, ahfeldt2015",,
cnotliwy2013,Przedmioty z poroża i kości z Janowa Pomorskiego,"Cnotliwy, E.",,,2013,2013,"Studia nad Truso, II",incollection,,,,,,,,,,,,F2,llm_from_footnote,,,0.67,"partial (missing: editor, pages, publisher, location)",,,,Jagodziński 2014 - Scandinavians and West-Balts Contribution to the Study on the Issue of the Influence of the Scandin.pdf,"M.F. Jagodziński, Truso -Siedlung...; idem, Wikingowie i Truso...; idem, The Set lement of Truso...; idem, Truso. Między Weonodlandem...; idem, Zasady funkcjonowania...; S. Brather, M.F. Jagodziński, Nadmorska osada...; Janów Pomorski stan. 1. Wyniki ratowniczych badań archeologicznych w latach 2007",,jagodzinski2014,,
rolston1987,Scientific and Religious Logic -Science and Religion: A Critical Survey,"Rolston, H.",,,1987,1987,,book,,Oxford university press,,,,,,Oxford,,,,F2,,,,0.78,"partial (missing: location, isbn)",,,,Artelius and Lindqvist 2005 - Bones of the Earth Imitation as Meaning in Viking Age Burial Rites.pdf,,"Rolston, H. 1987. Scientific and Religious Logic -Science and Religion: A Critical Survey. Oxford university press. Oxford.",artelius2005,,
hockart1938,The Mechanism of the Evil Eye,"Hockart, Arthur M",,,1938,1938,Folklore,article,,,,,49,4,156--157,,,,,F2,,,,0.92,complete (missing: doi),,,,Gardeła 2013 - The Dangerous Dead Rethinking Viking-age Deviant Burials.pdf,,"Hockart, Arthur M.: ""The mechanism of the evil eye"", in: Folklore 49 (1938), 156-157.","gardeland, toplak2015",,
olsen1968,Om at Udgrave Stolpehuller,"Olsen, O. ;.",,,1968,1968,Nationalmuseets Arbejdsmark,article,,,,,,,155--170,,,,,F2,,,,0.75,"partial (missing: volume, number, doi)",,,,Beck 2017 - Temporalising the House Exploring Alternative Perspectives on Time and the Archaeological Record wi.pdf,,"Olsen, O., 1968. Om at udgrave stolpehuller. Nationalmuseets Arbejdsmark, 1968, 155-170.",beck2017,,
februar1977,Go¨ttingen: Vandenhoeck & Ruprecht,"Februar, ;. H.; Jankuhn, Herbert; Nehlsen, H.; Roth",,,1977,1977,,book,,,,,,,197--210,,,,,F2,,,,0.67,"partial (missing: publisher, location, isbn)",,,,Lund 2013 - Fragments of a Conversion Handling Bodies and Objects in Pagan and Christian Scandinavia AD 800–110.pdf,,"Februar 1977 (eds H. Jankuhn, H. Nehlsen and H. Roth). Go¨ttingen: Vandenhoeck & Ruprecht, pp. 197-210.",lund2013,,
moltke1985,Runes and their Origin -Denmark and Elsewhere,"Moltke, Erik",,,1985,1985,,book,,The National Museum of Denmark,Moltke; Copenhagen,,,,,,,,,F2,,,,0.89,complete (missing: isbn),,,,Imer 2014 - The Danish Runestones When and Where.pdf,,"Moltke, E., 1985. Runes and their Origin -Denmark and Elsewhere. København: The National Museum.","imer2014, holst2013, roesdahlnd",,
rye1981,Pottery Technology: Principles and Reconstruction,Rye,,,1981,1981,,book,,Taraxacum,,,,,,Washington,,,,F2,,,,0.78,"partial (missing: location, isbn)",,,,Perry 2016 - Pottery Production in Anglo-Scandinavian Torksey (Lincolnshire) Reconstructing and Contextualising.pdf,,"Rye, O 1981, Pottery Technology: Principles and Reconstruction, Washington: Taraxacum.",perry2016,,
schoeninger1979,Diet and Status at Chalcatzingo: Some Empirical and Technical Aspects of Strontium Analysis,"Schoeninger, Margaret J.",,,1979,1979,American Journal of Physical Anthropology,article,,Wiley,,,51,3,295--310,,10.1002/ajpa.1330510302,,,F2,,,crossref,1.00,complete,,,,Knudson et al  2012 - Migration and Viking Dublin Paleomobility and Paleodiet through Isotopic Analyses.pdf,,"Schoeninger, M.J., 1979. Diet and status at Chalcatzingo: some empirical and technical aspects of strontium analysis. American Journal of Physical Anthro- pology 51, 295e310.",knudson2012,,
devos2012,Les études micromorphologique en Région de Bruxelles-Capitale. Proposition d'un protocole pour l'analyse des images (version 1.0.) (Unpublished Technical,"Devos, Yannick",,,2012,2012,,book,,,,,,,,,,,,F2,,,,0.67,"partial (missing: publisher, location, isbn)",,,,Devos et al  2013 - A Soil Micromorphological Study on the Origins of the Early Medieval Trading Centre of Antwerp (Belg.pdf,,"Devos, Y., 2012. Les études micromorphologique en Région de Bruxelles-Capitale. Proposition d'un protocole pour l'analyse des images (version 1.0.) (Unpub- lished Technical Report CReA-Patrimoine). Université Libre de Bruxelles.",devos2013,,
