Citekey,Title,Author(s),Editor(s),Translator(s),Year,Date,Published In,Entry Type,Entry Type (original),Publisher,Location,Series,Volume,Number,Pages,Event/Title,DOI,URL,Note,Generation,Detection Method,Detection Confidence,Enriched Via,Completeness Score,Completeness Detail,Data Quality Flags,Correction Note,Corrections Applied,Source PDF,Source Footnote,Raw Citation (as extracted),Cited By (citekeys),Reviewer: Correct? (Y/N),Reviewer: Notes
richards1990,"Viking Age England, rev. edn, Stroud: Tempus Ritchie","Richards, Julian D.","Bistrup, Annelise; Scavenius, Bente; Winge, Mette",,1990,1990,Gulnares hus: En gave til Hendes Majestaet Dronning Margrethe den Anden på fødselsdagen,incollection,,Samleren,,,16,,23--28,"Anna; Viking Scotland, London; Copenhagen",,,,F2,,,,0.92,complete (missing: location),,,,Lund 2005 - Thresholds and Passages The Meanings of Bridges and Crossings in the Viking Age and Early Middle Ag.pdf,,"Richards, Julian D. 2000. Viking Age England, rev. edn, Stroud: Tempus Ritchie, Anna. 1993. Viking Scotland, London: Batsford Roesdahl, Else. 1990. 'At bygge bro -om det aeldste brobyggeri i Norden', in Gulnares hus: En gave til Hendes Majestaet Dronning Margrethe den Anden på fødselsdagen, den 16. april 1990, ed. Annelise Bistrup, Bente Scavenius, and Mette Winge, Copenhagen: Samleren, 23-28",lund2005,,
kelly1956,"An island settlement at Beginish, Co. Kerry","Kelly, M. J.",,,1956,1956,PRIA,article,,,,,57,,159--194,,,,,F2,,,,0.83,"partial (missing: number, doi)",,,,Kelly 2015 - The longphort in Viking-Age Ireland the archaeological evidence.pdf,,"M.J. o'Kelly, 'An island settlement at Beginish, Co. Kerry', PRIA, 57C (1956), 159-94;",kelly2015,,
mason1998,"The contest between the Ipiutak, Old Bering Sea, and Birnirk polities and the origin of whaling during the first millennium A.D. along Bering Strait","Mason, Owen K.",,,1998,1998,Journal of Anthropological Archaeology,article,,Elsevier BV,,,17,3,240--325,,10.1006/jaar.1998.0324,,,F2,,,crossref,1.00,complete,,,,"Dugmore et al  2007 - Norse Greenland Settlement Reflections on Climate Change, Trade, and the Contrasting Fates of Human.pdf",,"Mason, Owen K. 1998 The Contest between Ipuitak, Old Bering Sea, and Birnirk Polities and the Origin of Whaling during the First Millenium A.D. along the Ber- ing Strait. Journal of Anthropological Archaeol- ogy 17(3):240 -325.","dugmore2007, smith2018",,
stora2005,Human exploitation and history of seals in the Baltic during the Late Holocene,"Storå, Jan; Lõugas, Lembi","G.G., Monks,",,2005,2005,,book,,Oxbow Books,Oxford,,,,95--106,,,,,F2,,,,0.89,complete (missing: isbn),,,,"Hartman et al  2017 - Medieval Iceland, Greenland, and the New Human Condition A Case Study in Integrated Environmental H.pdf",,"Storå, J., Lõugas, L., 2005. Human exploitation and history of seals in the Baltic during the Late Holocene. In: Monks, G.G. (Ed.), The Exploitation and Cultural Importance of Sea Mammals. Oxbow Books, Oxford, pp. 95-106.",hartman2017,,
lindqvist1931,Yngre vikingastilar. No&disk K«ltu& XXVII. Stockholm,"Lindqvist, S.O.",,,1931,1931,,book,,,,,,,144--179,,,,,F2,,,,0.67,"partial (missing: publisher, location, isbn)",,,,Andrén 2000 - Re-reading Embodied Texts - an Interpretation of Rune-stones.pdf,,"Lindqvist, S. 1931. Yngre vikingastilar. No&disk K«ltu& XXVII. Stockholm. Pp. 144-179.","andren2000, imer2014",,
rcahms2011,Quoys: Canmore Online Database Record,RCAHMS,,,2011,2011,,misc,,,,,6,,,,,http://canmore.rcahms.gov.uk/en/site/3030/details/quoys/,,F2,,,,0.62,"partial (missing: title, note)",,Corrected role - institutional database record.,"title, author",Leonard 2011 - Vikings in the Prehistoric Landscape Studies on Mainland Orkney.pdf,,"RCAHMS Quoys. Canmore. http://canmore.rcahms.gov.uk/en/site/3030/details/quoys/, accessed 6 July 2011",leonard2011,,
loveluck2007,"Rural Settlement, Lifestyles and Social Change in the Later First Millennium AD: Anglo-Saxon Flixborough in its Wider Context, Excavations at Flixborough 4","Loveluck, Christopher",,,2007,2007,"Anglo-Saxon Flixborough in its Wider Context, Excavations at Flixborough",article,,Oxbow Books,Oxford,,4,,,,,,,F2,,,,0.75,"partial (missing: number, pages, doi)",,,,Carver 2015 - Commerce and Cult Confronted Ideologies in 6th–9th-Century Europe.pdf,,"Loveluck, C 2007, Rural Settlement, Lifestyles and So- cial Change in the Later First Millennium ad. Anglo- Saxon Flixborough in its Wider Context, Excavations at Flixborough vol 4, Oxford: Oxbow.","carver2015, hadley2018, kershaw2009, rogers2020",,
higham1992,"Rome, Britain and the Anglo-Saxons","Higham, N. J.",,,1992,1992,,book,,Seaby,,,,,,London,,,,F2,,,,0.78,"partial (missing: location, isbn)",,,,Semple and Sanmark 2013 - Assembly in North West Europe Collective Concerns for Early Societies.pdf,,"Higham, N.J. 1992. Rome, Britain and the Anglo-Saxons. London: Seaby.",sanmark2013,,
meaney1981,An Anglo-Saxon 'cunning woman' from Bidford-on-Avon,"Meaney, Audrey L; Amulets, Anglo-Saxon; Stones, Curing; Tania, ;.; Dickinson, M.",,,1981,1981,"British Archaeological Reports, British Series",article,,"Leicester University Press Newton, S",Oxford,BAR British Series 96,96,,23--51,,10.30861/9780860541486,,,F2,,,crossref,0.92,complete (missing: number),,,,Gardeła and Odebäck 2018 - Miniature Shields in the Viking Age A Reassessment.pdf,,"Meaney, Audrey. 1981. Anglo-Saxon Amulets and Curing Stones, British Archaeological Reports, British Series 96, Oxford: Archaeopress","gardela2018, pluskowskind, rosengren2010, NOAUTHOR33",,
kaplan1992,Cereal grain of Southwest Asia and Europe,"Kaplan, Lawrence; Smith, Mary B.; Sneddon, Lesley Ann","Rapp, G. R.; Mulholland, S. C.",,1992,1992,"Phytolith Systematics. Emerging Issues, (¼ Advances in Archaeological and Museum Sciences, 1)",incollection,,Plenum Press,,,,,149--175,New York,10.1007/978-1-4899-1155-1_8,,,F2,,,crossref,0.92,complete (missing: location),,,,Devos et al  2013 - A Soil Micromorphological Study on the Origins of the Early Medieval Trading Centre of Antwerp (Belg.pdf,,"Kaplan, L., Smith, M.B., Sneddon, L.A., 1992. Cereal grain of Southwest Asia and Europe. In: Rapp Jr., G., Mulholland, S.C. (Eds.), Phytolith Systematics. Emerging Issues, (¼ Advances in Archaeological and Museum Sciences, 1). Plenum Press, New York, pp. 149e175.",devos2013,,
zielinski1995,Evidence of the Eldgj a (Iceland) eruption in the GISP2 Greenland ice core: relationship to eruption processes and climatic conditions in the tenth century,"Zielinski, Gregory A.; Germani, Mark S.; Larsen, Gudrún; Baille, M. G. L.; Whitlow, Sallie; Twickler, Mark S.; Taylor, Kendrick",,,1995,1995,The Holocene,article,book,SAGE Publications,,,5,2,129-140,,10.1177/095968369500500201,http://dx.doi.org/10.1177/095968369500500201,,F2,,,crossref,0.78,"partial (missing: location, isbn)",,,,Schmid et al  2017 - Tephra Isochrons and Chronologies of Colonisation.pdf,,"Zielinski, G.A., Germani, M.S., Larsen, G., Baille, M.G.L., Whitlow, S., Twickler, M.S., Taylor, K., 1995. Evidence of the Eldgj a (Iceland) eruption in the GISP2 Greenland ice core: relationship to eruption processes and climatic conditions in the tenth century. Holocene 5, 129e140. http://dx.doi.org/10.1177/ 095968369500500201.",schmid2017,,
wallerstrom1995,"Norrbotten, sverige och medeltiden: problem kring makt och bosättning i en europeisk periferi","Wallerström, Thomas; Norrbotten",,,1995,1995,Meddelanden från Lunds universitets historiska museum,article,,Almqvist & Wiksell International,Norrbotten; Stockholm,,10,1,167--187,,,,,F2,,,,0.92,complete (missing: doi),,,,Lund 2015 - Living Places or Animated Objects Sámi Sacrificial Places with Metal Objects and Their South Scandi.pdf,,"Wallerström, Thomas. 1995a. ""A Merchant's Depot and a Hiding Place for Stolen Goods -Or Saami Sacrificial Sites?"" Meddelanden från Lunds universitets historiska museum 10: 167-187.","lund2015, raninen2014, roslund2017, oye2016",,
aberg1953,Den Historiska Relationen Mellan Folkvandringstid Och Vendeltid,"Åberg, N.",,,1953,1953,Kungl. Vitterhetsakademiens Handlingar,book,,,,,,,,,,,,F2,llm_bib_reparse,,,0.67,"partial (missing: publisher, location, isbn)",,Confirmed author.,"journaltitle, author, journaltitle, author, journaltitle, author, journaltitle, author, +216 more",Gräslund and Ljungkvist 2011 - Valsgärde Revisited.pdf,,,"graslundnd, ljungkvist2015",,
jouttijarvi1991,Jernvinna ved Dokkfløyvatn: De arkeologiske undersøkelsene 1986-1989. Varia 23. Universitetets Oldsaksamling,"Jouttijärvi, Arne; Voss, Olfert","Rundberget, Bernt; Henning Larsen, Jan; Borse Haraldsen, Tom H",,1991,1991,"Lokalt initiativ og jernvinneforskning i Snertingdal, Gjøvik kommune i Oppland: bidrag til forståelsen av jernutvinningen i eldre jernalder på Østlandet",incollection,,,,,16,,79--104,Portal. Oslo. Larsen; Oslo; Viking LXVI,,,,F2,,,,0.83,"partial (missing: publisher, location)",,,,Tveiten and Loftsgarden 2017 - The Extensive Iron Production in Norway in the Tenth to Thirteenth Century A Regional Perspective.pdf,,"Jouttijärvi, Arne and Olfert Voss 2013: Drengsted/Scharmbeck slaggegrube ovnen i Danmark og i Skandinavien. In: Rundberget, Bernt, Jan Henning Larsen and Tom H. Borse Haraldsen (eds): Ovnstypologi og ovnskronologi i den nordiske jernvinna: Jernvinna i Oppland: symposium på Kittilbu. 16.-18. juni 2009, pp. 83-93. Portal. Oslo. Larsen, Jan Henning 1991: Jernvinna ved Dokkfløyvatn: De arkeologiske undersøkelsene 1986-1989. Varia 23. Universitetets Oldsaksamling. Oslo. 2003: Lokalt initiativ og jernvinneforskning i Snertingdal, Gjøvik kommune i Oppland: bidrag til forståelsen av jernutvinningen i eldre jernalder på Østlandet. Viking LXVI: 79-104.",tveiten2017,,
grahamcampbell1976,Bossed Penannular Brooches Reconsidered,"Graham-Campbell, James",,,1976,1976,Norwegian Archaeological Review,article,,Informa UK Limited,,,9,1,45--52,,10.1080/00293652.1976.9965242,,,F2,,,crossref,1.00,complete,,,,Glørstad 2012 - Sign of the Times The Transfer and Transformation of Penannular Brooches in Viking-Age Norway.pdf,,"Graham-Campbell, J., 1976. Bossed penannular brooches reconsidered. Norwegian Archaeological Review, 9 (1), 45-52.","glorstad2012, ijssennagger2015",,
ostergard2011,Medieval Garments Reconstructed: Norse Clothing Patterns,"Østergård, E.",,,2011,2011,,book,,Aarhus University Press,,,,,,Aarhus,,,,F2,,,,0.78,"partial (missing: location, isbn)",,,,"Jackson et al  2018 - Disequilibrium, Adaptation, and the Norse Settlement of Greenland.pdf",,"Østergård, E. (2011). Medieval Garments Reconstructed: Norse Clothing Patterns, Aarhus University Press, Aarhus.",jackson2018,,
youngblut2008,Maximum June-July Temperatures in the Southwest Yukon over the Last 300 Years Reconstructed From Tree Rings,"Youngblut, Don; Luckman, Brian H.",,,2008,2008,Dendrochronologia,article,,Elsevier BV,,,25,3,166,,10.1016/j.dendro.2006.11.004,http://dx.doi.org/10.1016/j.dendro.2006.11.004,,F2,,,crossref,1.00,complete,,,,"Anchukaitis et al  2017 - Last Millennium Northern Hemisphere Summer Temperatures from Tree Rings Part II, Spatially Resolved.pdf",,"Youngblut, D., Luckman, B., 2008. Maximum June-July temperatures in the south- west Yukon over the last 300 years reconstructed from tree rings. Den- drochronologia 25, 153e166. http://dx.doi.org/10.1016/j.dendro.2006.11.004.","anchukaitis2017, perry2016",,
sjovold1993,"The scandinavian relief brooches of the migration period. oslo: institutt for arkeologi, kunsthistorie og numismatikk oldsaksamlingen","Sjøvold, T. H.",,,1993,1993,Norske Oldfunn XV,article,,,Oslo,,,,,,,,,F2,,,,0.67,"partial (missing: volume, number, pages, doi)",,,,Fischer and Victor 2011 - New Horizons for Helgö.pdf,,"Sjøvold, T. 1993 The Scandinavian Relief Brooches of the Migration Period. An Attempt at a New Classiication. Norske Oldfunn XV. Oslo.","fischer2011, martin2020",,
brogger1942,Glåmdalen i oldtiden,"Brøgger, Anton Wilhelm; Wilhelm",,,1942,1942,Norske bygder. Bind V. Glåmdal,incollection,,John Griegs forlag,,,,,16--26,Bergen,,,,F2,,,,0.83,"partial (missing: editor, location)",,,,Amundsen 2017 - Changing Histories and Ethnicities in a Sámi and Norse Borderland.pdf,,"Brøgger, Anton Wilhelm. 1942. ""Glåmdalen i oldtiden."" In Norske bygder. Bind V. Glåmdal, 16-26. Bergen: John Griegs forlag.","amundsen2017, stene2017",,
tesch2001,Biskopen i Museets Tr€ adga ˚rd: En Arkeologisk Ga ˚ta,"Tesch, S.; Edberg, Rune",,,2001,2001,,book,,,Sigtuna Museum,,,,,,,,,F2,,,,0.78,"partial (missing: publisher, isbn)",,,,Krzewińska et al  2018 - Genomic and Strontium Isotope Variation Reveal Immigration Patterns in a Viking Age Town.pdf,,"Tesch, S., and Edberg, R. (2001). Biskopen i Museets Tr€ adga ˚rd: En Arkeologisk Ga ˚ta (Sigtuna Museum).",krzewinska2018,,
weismantel2015,Seeing like an archaeologist. Viveiros de Castro at Chavín de Huantar,"Weismantel, Mary",,,2015,2015,Journal of social archaeology,article,,SAGE Publications,,,15,2,1--21,,10.1177/1469605315575425,,,F2,,,crossref,1.00,complete,,,,Lund 2017 - Connectedness with Things Animated Objects of Viking Age Scandinavia and Early Medieval Europe.pdf,,"Weismantel, M., 2015: Seeing like an archaeologist. Viveiros de Castro at Chavín de Huantar, Journal of social archaeology 15(2), 1-21.",lund2017,,
thoroddsen1919,Lýsing Íslands: Landbúnaður á Íslandi I,"Thoroddsen, Þ.",,,1919,1919,Hið Íslenzka bókmenntafélag,article,,,Copenhagen,,,,,,,,,F2,,,,0.67,"partial (missing: volume, number, pages, doi)",,,,"Hartman et al  2017 - Medieval Iceland, Greenland, and the New Human Condition A Case Study in Integrated Environmental H.pdf",,"Thoroddsen, Þ., 1919. Lýsing Íslands: Landbúnaður á Íslandi I. Hið Íslenzka bókmenntafélag, Copenhagen.",hartman2017,,
chapman2006,Parts and Wholes. Fragmentation in Prehistoric Context,"Chapman, John; Gaydarska, B.",,,2006,2006,,book,,Oxbow Books,Oxford,,,,,,,,,F2,,,,0.89,complete (missing: isbn),,,,Arwill-Nordbladh 2013 - Golden Nodes–Linking Memory to Time and Place.pdf,,"CHAPMAN, J. and B. GAYDARSKA, 2006. Parts and Wholes. Fragmentation in Prehistoric Context. Oxford: Oxbow Books.","arwillnordbladhnd, hedeager2010",,
dommasnes1991,"Women, Kinship, and the Basis of Power in the Norwegian Viking Age","Dommasnes, Liv Helga","Samson, Ross",,1991,1991,Social Approaches to Viking Studies,incollection,,Cruithne Press,,,,,337--345,Glasgow,,,,F2,,,,0.92,complete (missing: location),,,,Gardeła 2013 - “Warrior-women” in Viking Age Scandinavia A Preliminary Archaeological Study.pdf,,"Dommasnes L. H. 1991. Women, Kinship, and the Basis of Power in the Norwegian Viking Age. In R. Samson (ed.), Social Approaches to Viking Studies, Glasgow: Cruithne Press, 65-73.","gardelanda, osullivan2015, raffield2016, raffield2018, raffield2015, moen2020",,
brather2009,Frühmittelalterliche Bestattungen zwischen Erinnerung und Erwartung,"Brather, Sebastian","Brather, Sebastian; Geuenich, Dieter &; Huth, C.",,2009,2009,Reallexikon der germanischen Altertumskunde. Festschrift für Heiko Steuer zum 70,incollection,,De Gruyter,,,,,247--284,Berlin,,,,F2,,,,0.92,complete (missing: location),,,,Toplak 2015 - Prone Burials and Modified Teeth at the Viking Age Cemetery of Kopparsvik The Changing of Social Id.pdf,,"Brather S. 2009. Memoria und Repräsentation. Frühmittelalterliche Bestattungen zwischen Erinnerung und Erwartung. In S. Brather, D. Geuenich and C. Huth (eds.), Reallexikon der germanischen Altertumskunde. Festschrift für Heiko Steuer zum 70. Geburtstag. Berlin: De Gruyter, 247-284.",toplak2015,,
helgason2003,A reassessment of genetic diversity in icelanders: strong evidence from multiple loci for relative homogeneity caused by genetic drift,"Helgason, Agnar; Nicholson, G.; Stefa ´nsson, Kári; Donnelly, Peter",,,2003,2003,Ann. Hum. Genet,article,,Wiley,,,67,4,281--297,,10.1046/j.1469-1809.2003.00046.x,,,F2,,,crossref,1.00,complete,,,,Krzewińska et al  2018 - Genomic and Strontium Isotope Variation Reveal Immigration Patterns in a Viking Age Town.pdf,,"Helgason, A., Nicholson, G., Stefa ´nsson, K., and Donnelly, P. (2003). A reassessment of genetic diversity in Icelanders: strong evidence from multiple loci for relative homogeneity caused by genetic drift. Ann. Hum. Genet. 67, 281-297.","krzewinska2018, naumann2014",,
bukkemoen2007,"Stedsidentitet og sosial diskurs på Jaeren i eldre jernalder. I Sjøreiser og stedsidentitet: Jaeren/Lista i bronsealder og eldre jernalder, redigert av Lotte Hedeager, s. 135-302. Oslo arkeologiske serie","Bukkemoen, Grethe; Bjørkan",,,2007,2007,Sjøreiser og stedsidentitet: Jaeren/ Lista i bronsealder og eldre jernalder,incollection,,Unipub,,Oslo Arkeologiske Serie,8,,135--302,Oslo,,,,F2,,,,0.83,"partial (missing: editor, location)",,,,Fredriksen and Amundsen 2014 - Når stedsbånd veves og løses opp En sosial kronologi for bosetningen av kalvebeitet i indre Sogn i.pdf,,"Bukkemoen, Grethe Bjørkan 2007 Alt har sin plass. Stedsidentitet og sosial diskurs på Jaeren i eldre jernalder. I Sjøreiser og steds- identitet: Jaeren/Lista i bronsealder og eldre jernalder, redigert av Lotte Hedeager, s. 135-302. Oslo arkeologiske serie, nr. 8. Institutt for arkeologi, konservering og historiske studier, Universi- tetet i Oslo, Oslo.","fredriksen2014, glorstad2012",,
hollander1949,The sagas of Kormák and the Sworn Brothers,"Hollander, Lee M",,,1949,1949,,book,,Princeton University Press (for American-Scandinavian Foundation,"Princeton, NJ",,,,,,,,,F2,,,,0.89,complete (missing: isbn),,,,"Raffield 2019 - Playing Vikings Militarism, Hegemonic Masculinities, and Childhood Enculturation in Viking Age Scan.pdf",,"Hollander, Lee M., trans. 1949. The sagas of Kormák and the Sworn Brothers. Princeton, NJ: Princeton University Press (for American-Scandinavian Foundation).",raffield2019,,
cohen2003,Boundaries and Sett lement: The Role of the River Thames,"Cohen, N.",,,2003,2003,Anglo-Saxon Studies in Archaeology and History,article,,,,,12,,9--20,,,,,F2,,,,0.83,"partial (missing: number, doi)",,,,Lund 2010 - At the Water’s Edge.pdf,,"Cohen, N. (2003) Boundaries and Sett lement: The Role of the River Thames, Anglo-Saxon Studies in Archaeology and History 12: 9-20",lund2010,,
andersson1975,Sveriges historia. AB Kopia,"Andersson, Ingvar",,,1975,1975,,book,,,,,,,,Stockholm,,,,F2,,,,0.67,"partial (missing: publisher, location, isbn)",,,,"Price et al  2020 - Human Remains, Context, and Place of Origin for the Salme, Estonia, Boat Burials.pdf",,"Andersson, Ingvar, 1975. Sveriges historia. AB Kopia, Stockholm.",price2020,,
resi2013,"Nebeneinander, gleichzeitig, doch sehr unterschiedlich. was davon ist individualität [next to each other, contemporary, yet very different. what of it is individuality?","Resi, H. G. ;.","Hirschel, B.; Ludowici, Babetre; Sulzer, P.",,2013,2013,Individual and Individuality? Approaches towards an archaeology of personhood in the first millennium AD,incollection,,,,,4,,117--122,Hanover,,,,F2,,,,0.83,"partial (missing: publisher, location)",,,,Bill 2016 - Protecting against the Dead On the Possible Use of Apotropaic Magic in the Oseberg Burial.pdf,,"Resi, H.G.. 2013. Nebeneinander, gleichzeitig, doch sehr un- terschiedlich. Was davon ist Individualität [Next to each other, contemporary, yet very different. What of it is individuality?], in Individual and Individuality? Ap- proaches towards an archaeology of personhood in the first millennium AD, vol. 4, eds. B. Hirschel, B. Ludowici & P. Sulzer. Hanover: Niedersächsisches Landesmu- seum, 117-22.",bill2016,,
kristjansson1980,Íslenzkir sjávarhaettir 1,"Kristjánsson, Luðvik",,,1980,1980,Bókaútgáfa Menningarsjóðs,article,,,Reykjavik,,,,,,,,,F2,,,,0.67,"partial (missing: volume, number, pages, doi)",,,,"Hartman et al  2017 - Medieval Iceland, Greenland, and the New Human Condition A Case Study in Integrated Environmental H.pdf",,"Kristjánsson, Luðvik, 1980. Íslenzkir sjávarhaettir 1. Bókaútgáfa Menningarsjóðs, Reykjavik.",hartman2017,,
wilson1989,Alterations to Ridge and Furrow: Some Examples Illustrated,"Wilson, D. R.","Aston, M.; Austin, D.; Dyer, C.",,1989,1989,The Rural Settlements of Medieval England: Studies Dedicated to Maurice Beresford and John Hurst. Basil Blackwell,incollection,,,,,,,183--190,Oxford,,,,F2,,,,0.83,"partial (missing: publisher, location)",,,,"Catlin 2016 - Archaeology for the Anthropocene Scale, Soil, and the Settlement of Iceland.pdf",,"Wilson, D.R., 1989. Alterations to ridge and furrow: some examples illustrated. In: Aston, M., Austin, D., Dyer, C. (Eds.), The Rural Settlements of Medieval England: Studies Dedicated to Maurice Beresford and John Hurst. Basil Blackwell, Oxford, pp. 183-190.",catlin2016,,
ritchie1977,"Excavations of Pictish and Viking-Age Farmsteads at Buckquoy, Orkney","Ritchie, Anna",,,1977,1977,Orkney. Proceedings of the Society of Antiquaries of Scotland,article,,,,,108,,174--227,,,,,F2,,,,0.83,"partial (missing: number, doi)",,,,Griffiths 2019 - Rethinking the Early Viking Age in the West.pdf,,"Ritchie, A. 1977. Excavation of Pictish and Viking-Age farmsteads at Buckquoy, Orkney. Proceedings of the Society of Antiquaries of Scotland 108: 174-227.","griffiths2019, leonard2011, mainland2018",,
