citekey,title,year,generation,entry_type,first_author,doi,completeness,in_degree,out_degree,is_ghost
bill2012,"redigert av Anne Pedersen og Søren M. Sindbaek, s. 152-167. Nordlige Verdener. Nationalmuseet, Copenhagen. Bill, Jan og Aoife Daly 2012 The plundering of the ship graves from Oseberg and Gokstad: an example of power politics?",2012,F1,article,Bill Jan,,0.917,14,36,False
bjerg2013,From Goths to Varangians: Communication and Cultural Exchange between the Baltic and the Black Sea,2013,F1,book,Bjerg L.,,0.889,2,0,False
blaszczyk2017,Między ziemią a niebem: groby komorowe na obszarze państwa pierwszych piastów,2017,F1,book,Błaszczyk Dariusz,,0.889,1,0,False
d2016,Pochówki w grobach komorowych na ziemiach polskich w okresie wczesnego średniowiecza / Burials in Chamber Graves in the Polish Lands during the early Middle Ages,2016,F1,book,,,0.667,1,0,False
bogucki2012,From one sea to another. trading places in the european and mediterranean early middle ages. seminari del centro interuniversitario per la storia e l'archeologia dell'alto medioevo 3,2012,F1,article,Bogucki Mateusz,,0.75,4,0,False
bonde2016,Between Sutton Hoo and Oseberg -Dendrochronology and the origins of the ship burial tradition,2016,F1,article,Bonde Niels,10.1080/21662282.2016.1245885,1.0,3,85,False
borake2018,"Bottlenecks and anarchism: Local reactions and centralization of power at the Tissø Complex, Denmark AD 500-1050",2018,F1,article,Borake Trine Louise,,0.833,1,52,False
borake2019,Anarchistic action: Social organization and dynamics in southern Scandinavia from the Iron Age to the Middle Ages,2019,F1,article,Borake Trine Louise,10.1017/s1380203819000151,1.0,1,0,False
boyd2013,From country to town: Social transitions in Viking-Age housing,2013,F1,incollection,Boyd Robert,,0.917,1,35,False
brather2013,"Der Wikingerzeitliche Seehandelsplatz Von Janów (Truso): Geophysikalische, archäopedologische und archäologische Untersuchungen 2004-2008 / Nadmorska osada handowa z okresu wikingów z Janowa (Truso)",2013,F1,book,Brather Sebastian,,0.778,1,0,False
brewer2018,Cultural Heritage and Climate Adaptation: A Cultural Evolutionary Perspective for the Anthropocene,2018,F1,article,Brewer Joe,10.1080/00438243.2018.1527246,1.0,1,97,False
brink2011,Court Sites of Arctic Norway: Remains of Thing Sites and Representations of Political Consolidation Processes in the Northern Germanic World During the First Millennium Ad?,2011,F1,article,Brink Stefan ;,10.1080/00293652.2011.572685,1.0,3,0,False
buckberry2014,Finding Vikings in the Danelaw,2014,F1,article,Buckberry J. L.,10.1111/ojoa.12045,1.0,4,60,False
buntgen2016,Cooling and societal change during the Late Antique Little Ice Age from 536 to around 660 AD,2016,F1,article,Büntgen Ulf,10.1038/ngeo2652,1.0,7,28,False
burstrom2014,Things in the Eye of the Beholder: A Humanistic Perspective on Archaeological Object Biographies,2014,F1,article,Burström Nanouschka M.,10.1080/00293652.2014.909877,1.0,2,94,False
burstrom2015,Things of quality: Possessions and animated objects in the Scandinavian Viking Age,2015,F1,incollection,Burström Nanouschka M.,,0.667,3,61,False
callmer2017,Identity Formation and Diversity in the Early Medieval Baltic and Beyond: Communicators and Communication,2017,F1,book,,,0.556,1,0,False
cannell2016,Avaldsnes: A Sea-Kings' Manor in First-Millennium Western Scandinavia,2016,F1,article,Brink Stefan ;,,0.889,4,0,False
carver2015,Commerce and cult: Confronted ideologies in 6th-9th-century Europe,2015,F1,article,Carver M. O. H.,10.1080/00766097.2015.1119404,1.0,3,80,False
catlin2016,"Archaeology for the Anthropocene: Scale, Soil, and the Settlement of Iceland",2016,F1,article,Catlin Kathryn A.,10.1016/j.ancene.2015.12.005,0.917,2,86,False
chenery2014,Appendix 3: Isotope Analysis of Individuals From the Ridgeway Hill Mass Grave,2014,F1,article,Chenery Carolyn A,,0.917,7,47,False
christensen2018,The Borgring Project 2016-2018,2018,F1,incollection,Christensen J. K.,,0.917,2,10,False
christensen2013,Vikingetid i Danmark. Tekster udgivet i forbindelse med seminaret Vikingetid i Danmark afholdt på Københavns Universitet den 22,2013,F1,article,Christensen Mads,,0.833,3,29,False
christiansen2019,"Metal-Detected Late Iron Age and Early Medieval Brooches From the Limfjord Region, Northern Jutland: Production, Use and Loss",2019,F1,article,Christiansen T. T.,,0.833,1,96,False
clarke2017,"Helgö revisited. A new look at the excavated evidence for Helgö, central Sweden. Verein zur Förderung des Archäologischen landesmuseums",2017,F1,misc,Clarke Helen,,0.75,2,0,False
croix2012,Work and Space in Rural Settlements in Viking-Age Scandinavia: Gender Perspectives,2012,F1,book,Croix Sarah,,0.778,3,0,False
croix2015,"The Vikings, Victims of their Own Success? A Selective View on Viking Research and its Dissemination",2015,F1,article,Croix Sarah,10.1179/1461957114Y.0000000078,1.0,5,164,False
croix2016,"The Vikings, Victims of Their Own Success? a Selective View on Viking Research and Its Dissemination",2016,F1,article,Croix Sarah,,0.833,2,0,False
croix2020,Ribe's Pre-Christian Cemetery: The Burial Customs of an Early Urban Community,2020,F1,incollection,Croix Sarah,,0.917,1,0,False
croix2019,"Single Context, Metacontext, and High Definition Archaeology: Integrating New Standards of Stratigraphic Excavation and Recording",2019,F1,article,Croix Sarah,10.1007/s10816-019-09417-x,1.0,1,252,False
crumlinpedersen2010,Archaeology and the Sea in Scandinavia and Britain: A Personal Account,2010,F1,article,Crumlin-Pedersen Ole,,0.889,3,0,False
devos2013,A Soil Micromorphological Study on the Origins of the Early Medi eval Trading Centre of Antwerp (Belgium),2013,F1,article,Devos Yannick,10.1016/j.quaint.2013.07.014,0.917,4,66,False
diamond2005,Collapse: How Societies Choose to Fail orSsucceed,2005,F1,article,Diamond JARED M.,10.2307/40204082,0.889,7,0,False
dobat2006,The king and his cult: the axe-hammer from sutton hoo and its implications for the concept of sacral rulership in early medieval europe,2006,F1,article,Dobat Andres Siegfried,10.1017/s0003598x00094485,1.0,3,57,False
