name,betweenness,closeness,pagerank,hub,authority,in_degree,title,year,generation,entry_type,cluster_kmeans.x,component_weak,component_strong,community_leiden,cluster_kmeans.y
Maritime Mode of Production: Raiding and Trading in Seafaring Chiefdoms,0,0.5066666666666667,2.972055520759004e-5,7.290778654826252e-17,6.513519831769025e-7,1,NA,NA,NA,NA,5,1,13899,47,5
Роботи експедиції «Великий Київ,0,NA,2.2762090500174994e-5,0.028167222350416687,0,0,NA,NA,NA,NA,6,1,3381,57,6
The Dorset Culture: A Comparative Study in Newfoundland and the Arctic. No. 1. Department of Tourism Heritage Resources Division,0,NA,2.2762090500174994e-5,0.0014318811393725717,0,0,NA,NA,NA,NA,6,1,3380,20,6
"Die slawischen Befunde am Hitzacker-See, Ldkr. Lüchow-Dannenberg",0,NA,2.2762090500174994e-5,0.9424171857515237,0,0,NA,NA,NA,NA,3,1,3379,4,3
The Medieval Dragon: The Nature of the Beast in Germanic Literature,0,NA,2.2762090500174994e-5,2.49724504317181e-5,0,0,NA,NA,NA,NA,6,1,3378,44,6
Vom Leben und Sterben des Ötztaler Gletschermannes: neue medizinische und archäologische Erkentnisse,0,NA,2.2762090500174994e-5,1.0714734305188485e-4,0,0,NA,NA,NA,NA,6,1,3377,47,6
Population Turnover in Remote Oceania Shortly after Initial Settlement,0,0.5066666666666667,2.972055520759004e-5,7.290778654826252e-17,6.513519831769025e-7,1,NA,NA,NA,NA,5,1,13898,47,5
Komentarji v / Comments in: Jahrbuch des Vereins für mecklenburgische Geschichte und Altertumskunde 12,0,NA,2.2762090500174994e-5,8.895942721701284e-5,0,0,NA,NA,NA,NA,6,1,3376,5,6
A Plio-Pleistocene stack of 57 globally distributed benthic d180 records,0,0.3382352941176471,2.725573765260933e-5,7.290778654826252e-17,9.322445063227507e-7,1,NA,NA,NA,NA,4,1,15467,41,4
Византия и славяне,0,NA,2.2762090500174994e-5,0.028167222350417007,0,0,NA,NA,NA,NA,6,1,3375,57,6
"Византия, Болгария, Древняя Русь (IX -начало XII в.). СПб. (ВБИ)",0,NA,2.2762090500174994e-5,0.02816722235041686,0,0,NA,NA,NA,NA,6,1,3374,57,6
literaturnd,0,NA,2.2762090500174994e-5,3.3122692159982616e-6,0,0,,,F2,misc,6,1,3373,64,6
What Makes a Craft Souvenir Authentic?,0,0.5294117647058824,2.9050118000848335e-5,7.290778654826252e-17,5.787613876539852e-7,1,NA,NA,NA,NA,5,1,11458,56,5
Dense Semantic Labeling of Very-High-Resolution Aerial Imagery and LiDAR with Fully-Convolutional Neural Networks and Higher-Order CRFs,0,NA,2.2762090500174994e-5,0.00138771094723356,0,0,NA,NA,NA,NA,6,1,3372,48,6
Жизнеописания византийских царей,0,NA,2.2762090500174994e-5,0.028167222350416927,0,0,NA,NA,NA,NA,6,1,3371,57,6
Торговые связи Древней Руси с Востоком в VIII-XI вв,0,NA,2.2762090500174994e-5,0.02816722235041675,0,0,NA,NA,NA,NA,6,1,3370,57,6
Liudprandi episcopi Cremonensis Antapodosis // Die Werke Liudprands von Cremona / Hg,0,NA,2.2762090500174994e-5,0.028167222350416767,0,0,NA,NA,NA,NA,6,1,3369,57,6
Заметки из Керчи,0,NA,2.2762090500174994e-5,0.028167222350416594,0,0,NA,NA,NA,NA,6,1,3368,57,6
Wielkie kurhany latopisowego Pleśniska,0,NA,2.2762090500174994e-5,0.0017522810101422114,0,0,NA,NA,NA,NA,6,1,3367,13,6
Draken Och Korset. Sverige 500l000,0,0.5294117647058824,2.3706019740372395e-5,7.290778654826252e-17,3.795048810454537e-6,1,NA,NA,NA,NA,5,1,14993,32,5
"Liv, död och genus. Sociala konstruktioner speglade i ett gravmaterial från Mälardalen. Seminar paper. Arkeologi & Antik historia",0,NA,2.2762090500174994e-5,0.0015200391015295996,0,0,NA,NA,NA,NA,6,1,3366,33,6
Early Christian Grave Monuments and the 11th-Century Context of the Monument Marker hvalf,0,0.6666666666666666,2.3544063150899752e-5,7.290778654826252e-17,2.6942362848175557e-6,1,NA,NA,NA,NA,5,1,14530,29,5
"Under runristad häll, Tidigkristna gravmonument i 1000-talets Sverige",0,NA,2.2762090500174994e-5,0.002616025321041762,0,0,NA,NA,NA,NA,6,1,3365,7,6
Under runristad häll. tidigkristna gravmonument i 1000-talets sverige. stockholm studies in archaeology,0,NA,2.2762090500174994e-5,0.0015200391015295957,0,0,NA,NA,NA,NA,6,1,3364,33,6
Den nordisla religionen och kristendon&en. studie&' över det nordisl a &eligionsskiftet under vikingatiden. nordiska texter och undersökningar 11,0,0.5294117647058824,2.3706019740372395e-5,7.290778654826252e-17,3.795048810454537e-6,1,NA,NA,NA,NA,5,1,14992,32,5
Den nor diska religionen och kristendomen: studier over det nor diska religionsskiftet under vikingatiden,0,0.5714285714285714,2.377093886841489e-5,7.290778654826252e-17,2.9267713880685564e-6,1,NA,NA,NA,NA,5,1,11619,7,5
Den förhistoriska bebyggelsen i gamla uppsala. preliminära tolkningar och omtolkningar av bebyggelseutveckling och organisation,0,NA,2.2762090500174994e-5,6.212415091945082e-5,0,0,NA,NA,NA,NA,6,1,3363,18,6
Ljungkvist 2000b,0,NA,2.2762090500174994e-5,6.212415091945462e-5,0,0,NA,NA,NA,NA,6,1,3362,18,6
ljungkvist2000b,0,NA,2.2762090500174994e-5,6.212415091945364e-5,0,0,,2000,F2,article,6,1,3361,18,6
Ikke afsluttet ph.d. afhandling om uppsala i vikingetiden. forventes afsluttet i efteråret 2004. institutionen fra arkeologi och antik historia,0,NA,2.2762090500174994e-5,4.3863700368973086e-5,0,0,NA,NA,NA,NA,6,1,3360,31,6
Uppsalahögarnas datering och några konsekvenser av en omdatering av den tidiga vendeltiden,0,0.5,2.566302393638834e-5,7.290778654826252e-17,2.6899516206853826e-6,1,NA,NA,NA,NA,5,1,13365,23,5
Uppsala högars datering och några konsekvenser av en omdatering till tidiga vendeltiden,6.6155148226035315e-6,0.268370607028754,2.4956632209763964e-5,1.4293198403179513e-4,1.812385828464783e-7,1,NA,NA,NA,NA,4,1,17693,40,4
"En hiar atti rikr. Om elit, struktur och ekonomi kring Uppsala och Mälaren under yngre järnalder",0,0.3076923076923077,2.393020264364049e-5,7.290778654826252e-17,4.109034272941181e-6,1,NA,NA,NA,NA,4,1,16888,40,4
"En hiar att rikr. Om elit, struktur och ekonomi kring Uppsala och Mälaren under yngre järnåldern",0,0.21465968586387435,2.8757642920980494e-5,7.290778654826252e-17,1.6408292370498446e-10,1,NA,NA,NA,NA,4,1,17580,40,4
"En hiar atti rikR: om elit, struktur och ekonomi kring Uppsala och Mälaren under yngre järnålder",2.6837450988474163e-5,0.1887141535615171,3.393531080062644e-5,0.0016376601238580904,4.009895888920338e-8,1,NA,NA,NA,NA,4,1,17975,59,4
Unknown From Provided Context,0,NA,2.2762090500174994e-5,0.00168980968280496,0,0,NA,NA,NA,NA,6,1,3359,59,6
"En hiar atti rikR: om elit, struktur",0,NA,2.2762090500174994e-5,5.214955894687786e-5,0,0,NA,NA,NA,NA,6,1,3358,59,6
Dating two royal mounds at Gamla Uppsala. Evaluating the elite of the 6th-7th century in Middle Sweden,0,0.3076923076923077,2.393020264364049e-5,7.290778654826252e-17,4.109034272941181e-6,1,NA,NA,NA,NA,4,1,16887,40,4
"Valsgärde: Development and Change on a Burial Ground over 1,300 years",1.8465129019908105e-8,0.3076923076923077,2.393020264364049e-5,0.0014305372576057583,4.109034272941181e-6,1,NA,NA,NA,NA,4,1,16886,7,4
Evaluating the elite of the 6th-7th century in Middle Sweden,9.789205976526372e-8,0.6666666666666666,2.634142923132751e-5,0.001531378547048863,8.373248024977626e-8,1,NA,NA,NA,NA,5,1,7798,33,5
Dating Two Royal Mounds of Old Uppsala: Evaluating the Elite of the 6th-7th Century in Middle Sweden,0,0.1909814323607427,2.7998906698806295e-5,7.290778654826252e-17,4.8940828273121096e-06,1,NA,NA,NA,NA,4,1,16483,16,4
"Valsgärde Studies: The Place and its People, Past and Present (OPIA 42)",0,0.1909814323607427,2.7998906698806295e-5,7.290778654826252e-17,4.8940828273121096e-06,1,NA,NA,NA,NA,4,1,16482,16,4
Valsgärde -development and change of a burial ground over 1300 years,0,0.21465968586387435,2.8757642920980494e-5,7.290778654826252e-17,1.6408292370498446e-10,1,NA,NA,NA,NA,4,1,17579,40,4
The development and chronology of the valsgärde cemetery,0,NA,2.2762090500174994e-5,1.1339445519277406e-5,0,0,NA,NA,NA,NA,6,1,3357,33,6
Continental imports to Scandinavia. Patterns and changes between 400-800 AD,9.163231328593524e-6,0.1887141535615171,3.393531080062644e-5,1.1339445519273232e-5,4.009895888920338e-8,1,NA,NA,NA,NA,4,1,17974,33,4
"Valsgärde-development and change of a burial ground over 1300 years, in s",0,0.2096360840594567,3.831364090508115e-5,7.290778654826252e-17,6.275282790355699e-7,1,NA,NA,NA,NA,4,1,18639,58,4
"Valsgärde Studies: The Place and Its People, Past and Present",0,0.1887141535615171,3.393531080062644e-5,7.290778654826252e-17,4.009895888920338e-8,1,NA,NA,NA,NA,4,1,17973,19,4
Continental imports to Scandinavia. Patterns and changes between AD 400 and 800,1.202356045753223e-7,0.3617021276595745,2.411053184413099e-5,0.005884874778293733,1.8723634315679657e-5,1,NA,NA,NA,NA,4,1,16432,16,4
Gamla Uppsala: Structural development of a centre in Middle Sweden,3.242944529157163e-4,0.2828828828828829,0.0013498509299560036,4.931910831331605e-4,6.59200106486181e-5,72,NA,NA,NA,NA,2,1,19441,18,2
Mistresses of the Cult -Evidence of Female Cult Leaders From an Archaeological Perspective,0,0.2501867064973861,2.975248142239593e-5,7.290778654826252e-17,5.388630121634506e-6,1,NA,NA,NA,NA,4,1,18576,10,4
ljungkvist2011c,0,NA,2.2762090500174994e-5,1.141772981294317e-4,0,0,,2011,F2,incollection,6,1,3356,46,6
Monumentaliseringen av Gamla Uppsala,0,NA,2.2762090500174994e-5,0.0015403581244132854,0,0,NA,NA,NA,NA,6,1,3355,33,6
Gamla Uppsala-The Emergence of a Centre and a Magnate Complex,8.006420162304519e-7,0.3076923076923077,2.393020264364049e-5,1.1709225265474135e-4,4.109034272941181e-6,1,NA,NA,NA,NA,4,1,16881,40,4
Gamla Uppsala -the Emergence of a Centre and a Magnate Complex,6.405380234802608e-5,0.22046192021378125,5.890172300129196e-4,5.3348794609047396e-5,1.203229917911427e-5,32,NA,NA,NA,NA,4,1,20986,33,4
Two Workshops with Garnet Crafts in Gamla Uppsala,0,NA,2.2762090500174994e-5,1.141772981294317e-4,0,0,NA,NA,NA,NA,6,1,3354,46,6
Gamla Uppsala and Valsgärde: Deconstructing the Vendel-Viking transition,8.522573011308581e-6,0.24315068493150685,5.504417168103505e-5,4.358897729321187e-4,3.093061717754668e-6,3,NA,NA,NA,NA,4,1,16882,40,4
In press I,0,0.17497812773403323,2.72557375224576e-5,7.290778654826252e-17,6.020457696696192e-7,1,NA,NA,NA,NA,4,1,19621,38,4
Skelettgravar i tiden -från sen romersk järnålder till tidig vendeltid,0,0.21465968586387435,2.8757642920980494e-5,7.290778654826252e-17,1.6408292370498446e-10,1,NA,NA,NA,NA,4,1,17578,40,4
2008b Dating Two Royal Mounds of Old Uppsala. Evaluating the Elite of the 6th-7th Century in Middle Sweden,0,0.1978021978021978,3.445897698239494e-5,7.290778654826252e-17,5.645801242645946e-7,1,NA,NA,NA,NA,4,1,16885,40,4
"Hans Göthberg, and Daniel Löwenborg 2011 Gamla Uppsala-The Development of a Central Place in Middle Sweden",0,0.1978021978021978,3.445897698239494e-5,7.290778654826252e-17,5.645801242645946e-7,1,NA,NA,NA,NA,4,1,16884,40,4
Gamla Uppsalastructural Development of a Centre,0,0.22077922077922077,4.126811131408795e-5,7.290778654826252e-17,6.387988437627999e-7,1,NA,NA,NA,NA,4,1,19500,18,4
Gamla Uppsala Before and After the Age of Clovisemergence of a Centre and Palace Area,0,NA,2.2762090500174994e-5,9.476552792888343e-5,0,0,NA,NA,NA,NA,6,1,3353,58,6
The Significance of Remote Resource Regions for Norse Greenland,0,0.3620689655172414,2.7348305343072854e-5,7.290778654826252e-17,8.225020994351878e-6,1,NA,NA,NA,NA,4,1,15532,20,4
A New Reconstruction of Temperature Variability in the Extra-Tropical Northern Hemisphere During the Last Two Millennia,0,0.17823479005998286,3.0470195386246368e-5,7.290778654826252e-17,2.5908416736574993e-7,1,NA,NA,NA,NA,4,1,16167,50,4
A Regional Approach to the Medieval Warm Period and the Little Ice Age,0,0.2766798418972332,2.894480424005116e-5,7.290778654826252e-17,4.445840852833142e-6,1,NA,NA,NA,NA,4,1,16281,34,4
Rape in the Icelandic Sagas: An Insight in the Perceptions about Sexual Assaults on Women in the Old Norse World,0,NA,2.2762090500174994e-5,0.0017522810101422092,0,0,NA,NA,NA,NA,6,1,3352,13,6
"Oscariansk antropologi. etnografi, förhistoria och rasforskning under sent 1800-tal",0,NA,2.2762090500174994e-5,2.9218458402603843e-6,0,0,NA,NA,NA,NA,6,1,3351,59,6
Tempelvägen,0,0.21465968586387435,2.8757642920980494e-5,7.290778654826252e-17,1.6408292370498446e-10,1,NA,NA,NA,NA,4,1,17577,40,4
lobbedey1993,0,NA,2.2762090500174994e-5,0.9424171857515237,0,0,,1993,F2,misc,3,1,3350,4,3
loddekopinge1976,0,0.52,2.4133618765757085e-5,7.290778654826252e-17,8.244748993703853e-7,1,,1976,F2,misc,5,1,12602,62,5
Colonsay and Oronsay in the Isles of Argyll,0,0.6666666666666666,2.4750612017481946e-5,7.290778654826252e-17,5.744327642607993e-7,1,NA,NA,NA,NA,5,1,10293,5,5
loderups1961,0,0.52,2.4133618765757085e-5,7.290778654826252e-17,8.244748993703853e-7,1,,1961,F2,misc,5,1,12601,62,5
"Given to the Ground"": A Viking Age Mass Grave on Ridgeway Hill",6.44235194841989e-6,0.19159770846594526,2.6765965342317004e-5,4.758234243615691e-4,3.33074736342547e-6,1,NA,NA,NA,NA,4,1,17448,59,4
"Osteological Analysis of the Human Skeletons, Summary Results",0,NA,2.2762090500174994e-5,6.743089300706946e-4,0,0,NA,NA,NA,NA,6,1,3349,13,6
