Timestamp,ID,cite_key,Authors' Genders [Author 1],Authors' Genders [Author 2],Authors' Genders [Author 3],Authors' Genders [Author 4],Authors' Genders [Author 5],Authors' Genders [Author 6],Authors' Genders [Author 7],Authors' Genders [Author 8],Authors' Genders [Author 9],Authors' Genders [Author 10],Authors' Genders [Author 11],Authors' Genders [Author 12],Authors' Genders [Author 13],Authors' Genders [Author 14],Authors' Genders [Author 15],Authors' Genders [Author 16],Authors' Genders [Author 17],Topics [Trade],Topics [Diaspora],Topics [Gender],Topics [Identity],Topics [Violence],Topics [Ethnicity],Topics [Enslaved],Topics [Power],Topics [Worldviews],Topics [Personhood],Topics [Environment],Topics [The Viking ship],Topics [Rituals],Topics [Memory],Topics [Craft],Topics [Outfield resources],Topics [Hunting],Sources of Evidence [Graves and monuments],Sources of Evidence [Hoards],Sources of Evidence [Settlements],Sources of Evidence [Emporia],"Sources of Evidence [Other structures, sites of production or pit systems]",Sources of Evidence [Portable artefacts],Sources of Evidence [Human biological remains],Sources of Evidence [Non-anthropogenic materials],Sources of Evidence [Stray finds],Methods [aDNA],Methods [Biological analyses],Methods [Palaeoenvironment reconstruction],Methods [Stable isotope analysis],Methods [Absolute dating],Methods [Geophysical analyses],Methods [Geochemical analyses],Methods [Spatial analysis],Methods [Artefact analysis],Methods [Literary analysis and epigraphy],Methods [Quantitative or statistical methods],Methods [Discourse analysis],Region,Comments,Topics [Heritage],Sources of Evidence [Written sources],Methods [Relative dating],Sources of Evidence [Ethnographic sources]
2026-01-15 06:35:04,4007,steinforth2018,Man,,,,,,,,,,,,,,,,,Secondary,Secondary,,,Secondary,Primary,,Primary,Secondary,,Primary,,Secondary,,,,,Primary,,Primary,,,Primary,,,,,,,,,,,,Secondary,Primary,,,"Isle of Man, Irish Sea, Dublin",,,Primary,,
2026-01-15 06:13:58,4006,svensson2018,Woman,,,,,,,,,,,,,,,,,Primary,,Secondary,,,,,Secondary,,,Primary,,,,,Primary,Secondary,,,Primary,,Secondary,,,,,,,Primary,,,,,Primary,,,,,Scandinavia,,,,,Primary
2025-12-17 08:22:22,4005,toplak2018,Man,,,,,,,,,,,,,,,,,,Secondary,,Secondary,Primary,,Secondary,Secondary,Secondary,,Secondary,,Primary,,,,,Primary,,Primary,,,Secondary,Primary,,,,Primary,,Secondary,,,,Primary,,Primary,,,"Gotland, Scandinavia",,,,,Secondary
2025-12-17 08:07:38,4004,ulriksen2018,Man,,,,,,,,,,,,,,,,,,,Primary,,,,,,Primary,Primary,Primary,,Primary,,,,,Primary,,,,,Primary,Primary,Primary,,,Secondary,,,,,,Primary,Primary,Primary,,,Roskilde,,,,,
2025-12-17 07:54:43,4003,skre2017a,Man,,,,,,,,,,,,,,,,,Primary,Primary,,,,,,Secondary,,,Primary,Secondary,,,Primary,Secondary,Secondary,,,Primary,Primary,Primary,Secondary,,Secondary,,,,,,,,,Primary,Secondary,,,Secondary,West Scandinavia,,,,,
2025-12-17 07:34:28,4002,star2017,Man,Woman,Woman,Woman,Woman,Man,Man,Man,Woman,Man,Man,Man,Man,Man,Woman,Man,,Primary,,,,,,,,,,Primary,Primary,,,,,,,,Primary,,,,,Primary,,Primary,,Primary,Primary,,,,Secondary,,Secondary,Primary,,"Germany, Norway, England, Orkney, Hedeby","Additional authors include 9 male and 2 female, total 16.",,,,
2025-12-17 07:20:16,4001,stene2017,Woman,Woman,,,,,,,,,,,,,,,,Primary,,,,,,,Primary,,Secondary,Primary,,,,,Primary,Primary,Primary,,Primary,,Primary,Secondary,,,,,,Secondary,,Secondary,,,Primary,,Secondary,,,South Norway,,,,Secondary,
2026-07-03 07:01:17,4000,toplak2017,Man,,,,,,,,,,,,,,,,,,Secondary,,Secondary,Secondary,,,,Secondary,Secondary,Primary,,Primary,,,,,Primary,,,,,,Primary,,,,Secondary,,,,,,Primary,,,,,"Scandinavia, Gotland",German,,,,
2025-12-17 07:08:07,3999,tveiten2017,Man,Man,,,,,,,,,,,,,,,,Primary,,,,,,,Secondary,,,Primary,,,,,Primary,,,,Secondary,,Primary,,,,,,,Secondary,,,Primary,,Primary,,Secondary,Primary,,South Norway,,,,Secondary,
2025-12-17 06:53:44,3998,zachrisson2017,Woman,,,,,,,,,,,,,,,,,,,,,,,,Primary,,,Primary,,Secondary,Primary,,,,Primary,,Primary,,,,,,,,,Secondary,,,,,Primary,,Primary,,,"Mälaren, Southwest Norway",,,,,
2025-12-17 06:07:24,3997,zachrisson2017a,Woman,,,,,,,,,,,,,,,,,,,,Secondary,,Primary,,,Primary,,,,Primary,,Primary,,,Primary,,Secondary,,Primary,Primary,,,,,,,,,,,Primary,Primary,Primary,,,Scania,,,Primary,,
2025-12-17 05:47:51,3996,baug2019,Woman,Man,Man,Man,,,,,,,,,,,,,,Primary,Primary,Secondary,,Primary,,,Primary,Secondary,,Primary,Secondary,,,Secondary,Primary,Secondary,,,Secondary,Primary,,Primary,,,,,,,,Secondary,,Primary,Secondary,Primary,Primary,Primary,,"Lade, Ribe",,,Primary,,
2025-12-17 05:18:42,3995,christiansen2019,Man,,,,,,,,,,,,,,,,,Secondary,,,,,,,,,,Secondary,,,,Primary,,,Secondary,,Secondary,,Primary,Primary,,,Primary,,,,,,,,Primary,Primary,,Primary,,"Limfjord, North Jutland",,,,Primary,
2025-12-17 05:01:44,3994,edberg2019,Man,,,,,,,,,,,,,,,,,,,Primary,Primary,,,,Primary,,Primary,Primary,,,,,,,Primary,,Secondary,,,Primary,Primary,,,Secondary,Secondary,,,,,,,,,,Primary,Birka,,,,,
2025-12-17 04:53:06,3993,ellingsen2019,Woman,Man,,,,,,,,,,,,,,,,,Secondary,,,,,,Primary,Secondary,,Primary,,Primary,,Secondary,,,Primary,,Primary,,Secondary,Secondary,,Secondary,Secondary,,,Primary,,Primary,,,Primary,,Secondary,,,"Ørland, Trøndelag, Norway, North Scandinavia",,,,,
2025-12-10 07:13:01,3990,heen-pettersen2019,Woman,,,,,,,,,,,,,,,,,Secondary,Primary,,,Secondary,,,,,,Primary,Primary,,,,,,Primary,,,,,Primary,,Primary,,,,,,Primary,,,Primary,Secondary,Secondary,Secondary,,"Norway, North Sea",,,,Primary,
2025-12-10 06:51:02,3989,loftsgarden2019,Man,,,,,,,,,,,,,,,,,Primary,,,,,,,,,,Primary,,,,Primary,Primary,,,,Secondary,Secondary,Primary,Primary,,,,,,,,Secondary,,,Primary,Secondary,Primary,,,South Norway,,,,Secondary,
2025-12-10 06:34:22,3988,lund2019,Woman,Woman,,,,,,,,,,,,,,,,Primary,,Primary,Primary,,Secondary,,,,Primary,Primary,,Secondary,,,,Primary,Primary,,,Secondary,,Primary,,,,,,,,,,,Secondary,Primary,,Secondary,,"East Norway, South Sweden",,,,Secondary,
2025-12-10 06:01:42,3985,oehrl2019a,Man,,,,,,,,,,,,,,,,,,,,,,,,,Primary,,,,,,,,,Primary,,,,,,,,,,,,,,,,Secondary,Primary,Primary,,,Gotland,,,,Secondary,
2025-12-10 05:47:32,3984,ravn2019,Man,Man,Woman,Woman,,,,,,,,,,,,,,Secondary,Secondary,,,,,,Primary,,,Secondary,,,,,,,,,Primary,,,,,,Secondary,,,,,Primary,Primary,,Primary,,Secondary,,,Denmark,,,,Secondary,
2025-12-10 05:35:30,3982,price2019,Man,Woman,Woman,Woman,Man,Woman,Man,Woman,Man,Man,,,,,,,,,,Primary,Primary,Primary,,,Primary,,Secondary,Secondary,,,,,,,Primary,,Secondary,,,Primary,Primary,Secondary,,Primary,,,,,,,Primary,Primary,Secondary,,,Birka,"Authors include an additional 2 female and 3 male, total 10.",,Secondary,,
2025-12-10 05:26:47,3981,raffield2019,Man,,,,,,,,,,,,,,,,,,Secondary,Primary,Primary,Primary,,,Primary,Secondary,,,,,,,,,Primary,,,,,Primary,Primary,,,,Primary,,Secondary,,,,,Primary,Primary,,,"Scandinavia, England, Scotland, Staraya Ladoga",,,Primary,Secondary,
2025-12-05 10:03:54,3980,raffield2019a,Man,,,,,,,,,,,,,,,,,Primary,,Secondary,,Primary,,Primary,Primary,,,,,,,,,,,Secondary,Primary,Primary,Secondary,Primary,,,,,,,,,,,,Primary,Primary,,,Europe,,,Primary,,
2025-12-05 08:04:58,3979,rosvold2019,Man,Woman,Man,,,,,,,,,,,,,,,Primary,,,,,,,,,,,,,,,Primary,,,,Primary,,Primary,Primary,,Primary,,Primary,,Secondary,,Primary,,,Primary,Secondary,,Secondary,,Norway,,,,,
2025-12-05 07:51:11,3978,skre2019,Man,,,,,,,,,,,,,,,,,Primary,,,Secondary,Secondary,Primary,,Primary,,,Secondary,,Secondary,,,,,Primary,,Primary,Secondary,,Secondary,,,,,,,,Secondary,Primary,,Primary,Secondary,Primary,,,Scandinavia,,,,Secondary,
2025-12-05 07:01:26,3977,stott2019,Man,Man,Man,,,,,,,,,,,,,,,,,,,,,,Secondary,,,Primary,,,,,,,,,Primary,,,,,,,,,,,,Primary,,Primary,,Secondary,,,Denmark,"Method includes machine learning, AI.",,,,
2025-12-05 06:46:32,3976,svendsen2019,Man,,,,,,,,,,,,,,,,,Primary,,,,Primary,,,Primary,,,,Secondary,,,,,,,,,Secondary,,Secondary,,,,,,,,,,,,,Primary,,,England,,,Primary,,
2025-12-05 06:28:26,3975,tummuscheit2019,Woman,Woman,,,,,,,,,,,,,,,,Secondary,,,,Primary,,,Primary,,,Primary,,,,,,,,,,,Primary,,,,,,,,,Primary,,,Primary,,Secondary,,,Danevirke,,,,Secondary,
2025-12-05 05:37:53,3973,bill2020,Man,,,,,,,,,,,,,,,,,,Secondary,,,,,,Primary,,,,Primary,Primary,Primary,,,,Primary,,,,,Primary,Secondary,Secondary,,,,,,Primary,,,Primary,Primary,Primary,Primary,,Karmøy,,,Primary,Primary,
2025-12-05 05:08:28,3972,rogers2020,Woman,,,,,,,,,,,,,,,,,Primary,Primary,Secondary,Secondary,,,Secondary,Secondary,,,,,,,Primary,,,Primary,Primary,Primary,Primary,Primary,Primary,,Secondary,,,,,,Secondary,,,Primary,Primary,Secondary,,,"Britain, Ireland",,,,,
2025-11-26 10:29:12,3971,lund2020,Woman,,,,,,,,,,,,,,,,,,,,,,,,,Primary,,,,,Primary,,,,Primary,,,,,,,,,,,,,,,,Primary,,Primary,,,South Scandinavia,,,,Secondary,
2025-11-26 10:23:37,3969,moen2020,Woman,,,,,,,,,,,,,,,,,,,Primary,,Secondary,,,Secondary,,,,,,,,,,Primary,,,,,,,,,,,,,Secondary,,,,,Secondary,,Primary,,,,Primary,Secondary,
2026-07-03 06:47:07,3967,skorokhod2020,Man,Man,,,,,,,,,,,,,,,,,,,,,,,,,Primary,Primary,,,,,,,Primary,,Primary,,,Primary,Primary,,,,Secondary,,,,,,Primary,Primary,,,,Shestovytsia,Ukrainian,,,,
2025-11-26 10:20:50,3958,hilberg2014,Man,Man,,,,,,,,,,,,,,,,Primary,Secondary,,,,,,,,,,,,,Primary,,,,,,Primary,,Primary,,,,,,,,Secondary,,,Primary,Secondary,Primary,,,"Hedeby, Iceland, North Atlantic",,,,Secondary,
