Timestamp,ID,cite_key,Authors' Genders [Author 1],Authors' Genders [Author 2],Authors' Genders [Author 3],Authors' Genders [Author 4],Authors' Genders [Author 5],Authors' Genders [Author 6],Authors' Genders [Author 7],Authors' Genders [Author 8],Authors' Genders [Author 9],Authors' Genders [Author 10],Authors' Genders [Author 11],Authors' Genders [Author 12],Authors' Genders [Author 13],Authors' Genders [Author 14],Authors' Genders [Author 15],Authors' Genders [Author 16],Authors' Genders [Author 17],Topics [Trade],Topics [Diaspora],Topics [Gender],Topics [Identity],Topics [Violence],Topics [Ethnicity],Topics [Enslaved],Topics [Power],Topics [Worldviews],Topics [Personhood],Topics [Environment],Topics [The Viking ship],Topics [Rituals],Topics [Memory],Topics [Craft],Topics [Outfield resources],Topics [Hunting],Sources of Evidence [Graves and monuments],Sources of Evidence [Hoards],Sources of Evidence [Settlements],Sources of Evidence [Emporia],"Sources of Evidence [Other structures, sites of production or pit systems]",Sources of Evidence [Portable artefacts],Sources of Evidence [Human biological remains],Sources of Evidence [Non-anthropogenic materials],Sources of Evidence [Stray finds],Methods [aDNA],Methods [Biological analyses],Methods [Palaeoenvironment reconstruction],Methods [Stable isotope analysis],Methods [Absolute dating],Methods [Geophysical analyses],Methods [Geochemical analyses],Methods [Spatial analysis],Methods [Artefact analysis],Methods [Literary analysis and epigraphy],Methods [Quantitative or statistical methods],Methods [Discourse analysis],Region,Comments,Topics [Heritage],Sources of Evidence [Written sources],Methods [Relative dating],Sources of Evidence [Ethnographic sources]
2026-02-04 08:09:14,4149,roslund2015,Man,,,,,,,,,,,,,,,,,Primary,,,,,,,Primary,,,,,,,Secondary,,,,Secondary,,Primary,,Primary,,,,,,,,Secondary,,,Primary,Secondary,Primary,,,"Sigtuna, Birka, Kyivan Rus",,,Primary,Secondary,
2026-02-04 07:53:16,4148,rundkvist2015,Man,Man,,,,,,,,,,,,,,,,,Secondary,,,,,,Primary,,Secondary,Primary,,,,,,,Primary,,Primary,,,,,Secondary,,,,,,Secondary,Primary,,Primary,,,,Secondary,Aska,,,Secondary,Secondary,
2026-02-04 07:40:43,4147,steinforth2015b,Man,,,,,,,,,,,,,,,,,Secondary,Primary,,,Secondary,Primary,,Secondary,Secondary,,Primary,Secondary,Primary,,,,,Primary,Secondary,Primary,,,,,,,,,,,,,,Primary,,Primary,,Primary,Isle of Man,,Primary,Primary,,
2026-02-03 09:22:32,4146,sutherland2015,Woman,Man,Woman,,,,,,,,,,,,,,,,Primary,,,,Primary,,,,,Secondary,,,,Primary,,,,,Secondary,,,Primary,,,,,,,,Primary,,Primary,Secondary,Primary,,Primary,,Arctic Canada,,,,,
2026-02-03 09:16:52,4145,toplak2015,Man,,,,,,,,,,,,,,,,,Secondary,,Secondary,Primary,Secondary,,,,Primary,,,,Primary,,,,,Primary,,,,,,Primary,,,,Primary,,,,,,,,Secondary,,,Kopparsvik,,,Secondary,,
2026-02-03 09:11:14,4144,warmlander2015,Man,Woman,Man,Man,Man,Man,,,,,,,,,,,,Primary,Primary,,,,,,,Secondary,,,,,,Primary,,,,,Secondary,Secondary,,Primary,,,,,,,,,,Primary,,Primary,Secondary,,,Birka,One additional male author.,,Secondary,,
2026-02-03 08:52:35,4143,williams2015,Man,,,,,,,,,,,,,,,,,Primary,Secondary,,,Secondary,,,Primary,,,Primary,Secondary,,,Secondary,,,Secondary,,Primary,,,Primary,,,Secondary,,,,,Secondary,,,Primary,Primary,Primary,,,"Britain, Ireland",,,Primary,Secondary,
2026-02-03 08:43:08,4142,backdanielsson2016,Woman,,,,,,,,,,,,,,,,,,Secondary,,,,,,,Secondary,,Primary,,Primary,Primary,,,,Primary,,,,,,,,,,,,,,,,Primary,,Primary,Secondary,Primary,Viking world,,,,,
2026-02-03 08:32:06,4140,sindbaek2016,Man,,,,,,,,,,,,,,,,,Primary,Primary,,,,Secondary,,,,,,,,,Secondary,,,,,Primary,,,Primary,,,,,,,,,,,Primary,,,,,"Britain, Ireland",,,Secondary,,
2026-02-03 08:23:08,4139,skre2016,Man,,,,,,,,,,,,,,,,,Primary,,,,,,,Primary,,,Primary,,,,Primary,,,,Primary,Primary,Primary,,,,,,,,,,Secondary,,,Primary,,,,Secondary,Scandinavia,,,,Secondary,
2026-02-03 08:11:26,4138,bill2016,Man,,,,,,,,,,,,,,,,,,,,,Secondary,,,Primary,Secondary,Primary,,Secondary,Primary,,,,,Primary,,,,,Primary,,,,,,,,Primary,,,Primary,Primary,Primary,,,Oseberg,,,Primary,,
2026-02-03 08:02:31,4137,bonde2016,Man,Man,,,,,,,,,,,,,,,,,Primary,,,,,,Primary,,,Primary,Primary,Primary,,,,,Primary,,,,,,,Primary,,,,Primary,,Primary,,,Primary,,,,,"Sutton Hoo, Karmøy",,,,,
2026-02-03 07:01:36,4135,cannell2016,Woman,Man,Woman,,,,,,,,,,,,,,,Secondary,,,,Secondary,,,Secondary,,,Primary,,,,Secondary,,,,,Primary,,,,,Secondary,,,,,,Secondary,,Primary,Primary,,,Primary,,Avaldsnes,,,,Secondary,
2026-02-03 06:48:51,4134,catlin2016,Woman,,,,,,,,,,,,,,,,,Secondary,Secondary,,,,,,,,,Primary,,,,Secondary,Secondary,,,,Primary,,,,,Primary,,,,Primary,,Primary,,,,,,,,Iceland,,Primary,,,
2026-02-03 06:36:25,4132,croix2016,Woman,,,,,,,,,,,,,,,,,Secondary,Primary,,Primary,,Primary,,,Secondary,,,Secondary,,,,,,,,Secondary,,,Secondary,,,,,,,,,,,,,,,Primary,North Europe,Primary source of evidence is modern literature.,Primary,Secondary,,
2026-02-03 06:27:21,4131,eriksen2016a,Woman,,,,,,,,,,,,,,,,,,,Secondary,,,,,Primary,Primary,Primary,Primary,,Primary,Primary,,,,Primary,,Primary,,,Secondary,,,,,,,,,,,Primary,Secondary,Secondary,,,Scandinavia,,,Secondary,,
2026-02-03 06:16:46,4130,fahlander2016,Man,,,,,,,,,,,,,,,,,,,,,,,,Secondary,Primary,Secondary,Primary,,Primary,Primary,,,,Primary,,,,,Secondary,Secondary,Secondary,,,,,,,,,Primary,,Secondary,Secondary,,South Sweden,,,Secondary,,
2026-02-03 06:03:43,4129,gustafsson2016,Man,,,,,,,,,,,,,,,,,Primary,,,,,,,,,,,,,,Primary,,,,,Secondary,,,Primary,,Primary,Primary,,,,,Primary,,,,Secondary,,,,Gotland,,,,,
2026-02-03 05:56:54,4128,hadley2016,Woman,Man,Woman,Woman,Woman,Man,Woman,Man,,,,,,,,,,Primary,Primary,Secondary,Primary,Primary,Secondary,Secondary,Secondary,,,Primary,Secondary,,,Secondary,,,Secondary,,Primary,,,Primary,Secondary,,Primary,,,Primary,Secondary,Primary,Secondary,,Primary,,Primary,Secondary,,Torksey,Additionally two female and one male authors.,,Primary,Primary,
2026-02-03 05:37:15,4127,hilberg2016,Man,,,,,,,,,,,,,,,,,Primary,Primary,,,,,,Secondary,,,Primary,Secondary,,,Secondary,,,Secondary,,Primary,Primary,,Secondary,,,Primary,,,,,Secondary,,,Primary,Primary,Primary,,Secondary,"Hedeby, Schleswig",,,,Primary,
2026-02-02 11:02:29,4126,svendsen2016,Man,Man,,,,,,,,,,,,,,,,Primary,,,,Secondary,,,Secondary,,,,Secondary,,,,,,,,Secondary,,,,,,,,,,,,,,,,Primary,,,Scandinavia,,Secondary,Primary,,
2025-11-26 09:58:45,4124,vesteinsson2016,Man,,,,,,,,,,,,,,,,,,Secondary,Secondary,,,,Secondary,,Primary,Primary,,,Primary,,,,,Primary,,Primary,,,,,,,,,,,,,,Secondary,,Secondary,,,Iceland,,,,,
2026-02-02 10:52:49,4120,jahnsen2016,Woman,,,,,,,,,,,,,,,,,,,,Primary,,Primary,,Secondary,,,,Secondary,,,,,,,,,,,,,,,,,,,,,,,,,Primary,Primary,Norway,Primary source of evidence is modern literature.,Primary,,,
2026-02-02 10:41:55,4119,jessen2016,Man,Woman,,,,,,,,,,,,,,,,,Secondary,,,,,,Primary,,,Primary,,Secondary,,Primary,,,Secondary,,Primary,,Primary,Secondary,,,Secondary,,,,,Primary,,,Primary,Secondary,,,,Toftum Næs,,,Secondary,Secondary,
2026-02-02 10:22:46,4118,kalmring2016,Man,,,,,,,,,,,,,,,,,Primary,,,,,,,Primary,,,Primary,,,,Secondary,,,,,Primary,Primary,,,,,,,,,,,,,Primary,,,,Primary,"Northern Europe, Hedeby, Birka",,,Secondary,,
2026-02-02 07:43:04,4117,kastholm2016,Man,,,,,,,,,,,,,,,,,,,Primary,,Primary,,,,Primary,Primary,Primary,,Secondary,,,,,Primary,,,,,Primary,Primary,,,,Primary,,,Primary,,,Primary,,,,,Gerdrup,,,,Secondary,
