"round","edges_removed","n_components","modularity"
546,546,15,0.133421493553671
547,547,15,0.133429514080529
548,548,15,0.133437535570041
549,549,15,0.133445558022381
550,550,15,0.133453581437721
551,551,15,0.133461605816235
552,552,15,0.133469631158096
553,553,15,0.133477657463476
554,554,15,0.13348568473255
555,555,15,0.13349371296549
556,556,16,0.138618721853611
557,557,16,0.138627047769596
558,558,16,0.138635374683914
559,559,16,0.138643702596744
560,560,16,0.138652031508266
561,561,16,0.138660361418659
562,562,16,0.138668692328102
563,563,16,0.138677024236775
564,564,16,0.138685357144857
565,565,16,0.138693691052527
566,566,16,0.138702025959965
567,567,16,0.138710361867351
568,568,16,0.138718698774864
569,569,16,0.138727036682684
570,570,16,0.13873537559099
571,571,16,0.138743715499962
572,572,16,0.13875205640978
573,573,16,0.138760398320624
574,574,16,0.138768741232673
575,575,16,0.138777085146108
576,576,16,0.138785430061108
577,577,16,0.138793775977853
578,578,16,0.138802122896524
579,579,16,0.1388104708173
580,580,17,0.144737608473976
581,581,17,0.14474629957945
582,582,17,0.144754991726594
583,583,17,0.144763684915596
584,584,17,0.144772379146642
585,585,17,0.144781074419919
586,586,17,0.144789770735615
587,587,17,0.144798468093916
588,588,17,0.144807166495009
589,589,17,0.144815865939081
590,590,17,0.14482456642632
591,591,17,0.144833267956913
592,592,17,0.144841970531047
593,593,17,0.14485067414891
594,594,17,0.144859378810688
595,595,17,0.144868084516569
596,596,17,0.144876791266742
597,597,17,0.144885499061392
598,598,17,0.144894207900707
599,599,17,0.144902917784876
600,600,17,0.144911628714086
601,601,17,0.144920340688525
602,602,17,0.144929053708379
603,603,17,0.144937767773838
604,604,17,0.144946482885088
605,605,17,0.144955199042318
606,606,17,0.144963916245716
607,607,17,0.144972634495468
608,608,17,0.144981353791764
609,609,17,0.144990074134792
610,610,17,0.144998795524739
611,611,17,0.145007517961795
612,612,17,0.145016241446145
613,613,17,0.14502496597798
614,614,17,0.145033691557487
615,615,17,0.145042418184854
616,616,17,0.145051145860271
617,617,17,0.145059874583925
618,618,17,0.145068604356004
619,619,17,0.145077335176698
620,620,17,0.145086067046194
621,621,17,0.145094799964681
622,622,17,0.145103533932349
623,623,17,0.145112268949385
624,624,17,0.145121005015978
625,625,17,0.145129742132317
626,626,17,0.145138480298591
627,627,17,0.145147219514988
628,628,17,0.145155959781699
629,629,17,0.14516470109891
630,630,17,0.145173443466812
631,631,17,0.145182186885593
632,632,17,0.145190931355443
633,633,17,0.14519967687655
634,634,17,0.145208423449104
635,635,17,0.145217171073294
636,636,17,0.145225919749309
637,637,17,0.145234669477339
638,638,17,0.145243420257572
639,639,17,0.145252172090199
640,640,17,0.145260924975408
641,641,17,0.145269678913389
642,642,17,0.145278433904332
643,643,17,0.145287189948426
644,644,17,0.145295947045861
645,645,17,0.145304705196826
646,646,17,0.145313464401511
647,647,17,0.145322224660106
648,648,17,0.145330985972801
649,649,17,0.145339748339785
650,650,17,0.145348511761249
651,651,17,0.145357276237382
652,652,17,0.145366041768374
653,653,17,0.145374808354415
654,654,17,0.145383575995696
655,655,17,0.145392344692406
656,656,17,0.145401114444735
657,657,17,0.145409885252875
658,658,17,0.145418657117014
659,659,17,0.145427430037344
660,660,17,0.145436204014054
661,661,17,0.145444979047335
662,662,17,0.145453755137378
663,663,17,0.145462532284373
664,664,17,0.14547131048851
665,665,17,0.14548008974998
666,666,17,0.145488870068974
667,667,17,0.145497651445682
668,668,17,0.145506433880295
669,669,17,0.145515217373004
670,670,17,0.145524001923999
671,671,17,0.145532787533471
672,672,17,0.145541574201612
673,673,17,0.145550361928612
674,674,17,0.145559150714662
675,675,17,0.145567940559953
676,676,17,0.145576731464676
677,677,17,0.145585523429023
678,678,17,0.145594316453184
679,679,17,0.145603110537351
680,680,17,0.145611905681714
681,681,17,0.145620701886467
682,682,17,0.145629499151798
683,683,17,0.1456382974779
684,684,17,0.145647096864965
685,685,17,0.145655897313184
686,686,17,0.145664698822748
687,687,17,0.145673501393849
688,688,17,0.145682305026679
689,689,17,0.145691109721428
690,690,17,0.14569991547829
691,691,17,0.145708722297456
692,692,17,0.145717530179117
693,693,17,0.145726339123465
694,694,17,0.145735149130693
695,695,17,0.145743960200992
696,696,17,0.145752772334553
697,697,17,0.145761585531571
698,698,17,0.145770399792235
