"round","from","to"
413,"hartman2017","streeter2015"
414,"price2011","gotfredsen2014"
415,"lund2021","leonard2011"
416,"stene2017","sanmark2013"
417,"dobat2006","carver2015"
418,"beck2017","holst2010"
419,"sanmark2013","raffield2014"
420,"hilberg2014","rogers2020"
421,"raffield2016","ashby2015"
422,"baug2019","price2002"
423,"baug2019","price2014"
424,"trinks2014","ambrosiani1973"
425,"trinks2014","andren1997"
426,"hillerdal2010","ambrosiani1993"
427,"glorstad2017","ambrosiani1990"
428,"kalmring2012","trinks2010"
429,"kalmring2012","stalberg2000"
430,"price2010","leonard2011"
431,"croix2019","brink2008"
432,"baug2017","nielssen2014"
433,"baug2017","berg2015"
434,"mainland2018","harland2012"
435,"naumann2014","barrett1999"
436,"hartman2017","hoffmann2014"
437,"price2012","krzewinska2018"
438,"krzewinska2018","price2015"
439,"hedenstiernajonson2017","krzewinska2018"
440,"linderholm2008","krzewinska2018"
441,"krzewinska2018","richards2000"
442,"grupe2013","barrett2004"
443,"richards2018","leslie2015"
444,"krzewinska2015","barrett2008"
445,"krzewinska2015","brink2008"
446,"krzewinska2018","roslund2007"
447,"kershaw2016","leslie2015"
448,"jarman2018","leslie2015"
449,"leslie2015","goodacre2005"
450,"croix2015","mullerwille2002"
451,"becker2012","sjogren2009"
452,"krzewinska2018","briggs2007"
453,"krzewinska2018","gamba2014"
454,"krzewinska2018","patterson2006"
455,"krzewinska2018","meyer2010"
456,"star2017","heinrich2006"
457,"becker2012","heinrich1987"
458,"becker2012","lepiksaar1977"
459,"becker2012","schmolcke2006"
460,"leslie2015","alexander2009"
461,"kershaw2016","hellenthal2014"
462,"krzewinska2018","patterson2012"
463,"krzewinska2015","capelli2003"
464,"lund2021","toplak2018"
465,"lund2004","baastrup2014"
466,"nielsen2011","christiansen2019"
467,"lund2019","nielsen2011"
468,"hennius2018","sindbaek2011"
469,"williams2016","andren2000"
470,"lund2017","andren2000"
471,"lund2008","andren2000"
472,"croix2019","carver2015"
473,"croix2015","raninen2014"
474,"lund2021","dobat2013"
475,"raninen2014","barrett2008"
476,"raninen2014","sindbaek2007"
477,"raninen2014","sindbaek2011"
478,"frei2015","sindbaek2017"
479,"frei2015","barrett2010"
480,"dugmore2007","krogh1982"
481,"jagodzinski2014","ibsen2010"
482,"ibsen2010","thunmarknylen1995"
483,"magi2011","konsa2008"
484,"magi2011","staecker2009"
485,"magi2011","jansson1997"
486,"magi2011","nerman1958"
487,"ibsen2010","mullerwille2002"
488,"magi2011","wroblewski2006"
489,"lund2021","wickholm2006"
490,"price2018","gustin2017"
491,"roslund2017","callmer1992"
492,"gustin2017","price2002"
493,"milek2012","petersen1951"
494,"magi2011","edgren1995"
495,"milek2012","jesch1991"
496,"gustin2017","jansson2000"
497,"magi2011","blomkvist2005"
498,"milek2012","page1995"
499,"wickholm2006","price2002"
500,"raninen2014","nosov2006"
501,"lund2013","wickholm2006"
502,"lund2016","wickholm2006"
503,"roslund2015","leimus2007"
504,"wickholm2006","graslund1980"
505,"wickholm2006","magi2002"
506,"wickholm2006","creutz2003"
507,"wickholm2006","selirand1974"
508,"kovalenko2013","kulakov1994"
509,"lund2005","andren2000"
510,"lund2020","andren2000"
511,"lund2004","andren2000"
512,"ashby2015","hennius2018"
513,"baug2019","hennius2018"
514,"lund2021","bill2016"
515,"lund2021","ljungkvist2015"
516,"svendsen2016","hall2007"
517,"croix2015","almgren1967"
518,"gardela2018","dobat2013"
519,"mulk2007","jordan2003"
520,"mulk2007","turner1967"
521,"lund2021","lund2015"
522,"croix2019","barth1969"
523,"lund2015","price2002"
524,"lund2021","gustafsson2016"
525,"lund2021","gustafsson2011"
526,"svendsen2019","roesdahl2012"
527,"svendsen2016","barret2000"
528,"svendsen2016","grahamcampbell2011"
529,"svendsen2016","jensen2006"
530,"sindbaek2011","north1990"
531,"edberg2019","almgren1967"
532,"hillerdal2010","palliser2000"
533,"skre2017","naismith2012"
534,"svendsen2019","svendsen2016"
535,"perry2016","garmonsway1972"
536,"svendsen2016","roesdahl2012"
537,"raffield2016","coupland2003"
538,"svendsen2016","sheehan2000"
539,"williams2015","brondsted1960"
540,"kovalenko2013","almgren1967"
541,"hartman2017","sigurdsson2004"
542,"schmid2017","edwards2012"
543,"roslund2017","roslund2007"
544,"dugmore2007","barrett2003"
545,"lund2021","ijssennagger2013"
546,"skre2019","baug2019"
547,"lund2021","boyd2013"
548,"croix2019","dobat2013"
549,"oehrl2017","andren2004"
550,"raffield2018","price2010"
551,"lund2021","gullbekk2011"
552,"mulk2007","mulk1994"
553,"lucas2007","turner1969"
554,"lund2015","backman1975"
555,"lund2015","manker1957"
556,"lund2015","mulk1996"
557,"ashby2015","pilo2020"
558,"burstrom2015","burstrom2014"
559,"androshchuk2010","svanberg2003"
560,"croix2019","skre2007"
561,"croix2019","arbman1940"
562,"croix2019","sindbaek2017"
563,"croix2019","kershaw2013"
564,"croix2019","hedenstiernajonson2017"
565,"gardela2018","raffield2019"
566,"raffield2018","sindbaek2011"
567,"raffield2018","barrett2008"
568,"raffield2018","price2019"
569,"raffield2018","raffield2016"
570,"raffield2018","price2002"
571,"raffield2019","price2019"
572,"raffield2019","raffield2016"
573,"croix2019","ijssennagger2013"
574,"kovalenko2013","arne1914"
575,"kovalenko2013","herrmann1982"
576,"lund2021","skorokhod2020"
577,"raffield2018","blifeld1977"
578,"raffield2018","blifeld1977a"
579,"bill2016","roesdahl1998"
580,"androshchuk2018","kovalenko2006"
581,"wouters2016","milek2012"
582,"milek2012","milek2013"
583,"raffield2019","price2002"
584,"kristjansdottir2015","sindbaek2007"
585,"lund2013","kristjansdottir2015"
586,"jackson2018","smith2011a"
587,"amundsen2017","zachrisson2004"
588,"croix2019","wouters2016"
589,"lund2004","androshchuk2010"
590,"frei2015","henriksen2017"
591,"gardela2015","toplak2015"
592,"lund2021","holst2014"
593,"arneborg2012","kosiba2007"
594,"keller2016","sawyer1993"
595,"keller2016","brink2008b"
596,"keller2016","krogh1982"
597,"baug2019","bonde2016"
598,"ashby2015","madsen2014"
599,"jackson2018","smith1995"
600,"hartman2017","hughes1994"
601,"raffield2016","harris2013"
602,"raffield2016","harrison2013"
603,"baug2019","holm2015"
604,"hartman2017","dugmore2007"
605,"milek2012","grahamcampbell1980"
606,"zoega2017","andren2013"
607,"keller2016","thomas1996"
608,"keller2016","byock2001"
609,"zoega2017","kristjansdottir2015"
610,"arneborg2012","fricke1995"
611,"dugmore2012","mainland2018"
612,"frei2015","harrison2014"
613,"frei2015","wickham2005"
614,"frei2015","hodges2012"
615,"price2019","roesdahl2016"
616,"jackson2018","arneborg2003"
617,"jackson2018","vesteinsson2006"
618,"williams2016","smith2014"
619,"kristjansdottir2015","price2002"
620,"kristjansdottir2015","svanberg2003"
621,"keller2016","sanmark2004"
622,"keller2016","nasstrom2001"
623,"hennius2018","henriksen1995"
624,"sutherland2009","mainman2000"
625,"ashby2015","loftsgarden2019"
626,"baug2019","loftsgarden2019"
627,"loftsgarden2019","skre2017"
628,"hennius2018","loftsgarden2019"
629,"pilo2020","skre2017"
630,"pilo2020","skre2011b"
631,"hennius2018","pilo2020"
632,"glorstad2017","pilo2020"
633,"sindbaek2011","stene2017"
634,"stene2017","brink2008"
635,"stene2017","skre2008"
